"Name","Team","Age","G","AB","PA","H","1B","2B","3B","HR","R","RBI","SF","SH","GDP","SB","CS","GB","FB","LD","IFFB","IFH","BU","BUH","Balls","Strikes","Pitches","Pull%","Cent%","Oppo%","Soft%","Med%","Hard%","playerid"
"Josh Johnson","Marlins","24","3","0","3","0","0","0","0","0","0","0","0","3","0","0","0","0","0","0","0","0","3","0","4","6","10","0.0 %","66.7 %","33.3 %","33.3 %","66.7 %","0.0 %","4567"
"Clay Hensley","Padres","28","2","1","2","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","2","0","2","5","7","0.0 %","50.0 %","50.0 %","0.0 %","100.0 %","0.0 %","4593"
"Nick Swisher","White Sox","27","3","2","3","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","3","0","1","4","5","33.3 %","0.0 %","66.7 %","66.7 %","33.3 %","0.0 %","4599"
"Chris Snyder","Diamondbacks","27","6","2","7","0","0","0","0","0","0","1","0","5","0","0","0","0","0","0","0","0","7","0","4","12","16","0.0 %","85.7 %","14.3 %","57.1 %","42.9 %","0.0 %","4606"
"Jason Pridie","Twins","24","1","0","1","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","1","0","0","2","2","0.0 %","0.0 %","100.0 %","100.0 %","0.0 %","0.0 %","4611"
"Dave Bush","Brewers","28","4","1","6","0","0","0","0","0","0","0","0","5","0","0","0","0","0","0","0","0","6","0","2","11","13","33.3 %","16.7 %","50.0 %","16.7 %","83.3 %","0.0 %","4635"
"Jason Bergmann","Nationals","26","4","2","4","0","0","0","0","0","0","0","0","2","1","0","0","0","0","0","0","0","4","0","0","5","5","0.0 %","100.0 %","0.0 %","75.0 %","25.0 %","0.0 %","4640"
"Charlie Morton","Braves","24","3","0","3","0","0","0","0","0","0","0","0","3","0","0","0","0","0","0","0","0","3","0","0","4","4","0.0 %","100.0 %","0.0 %","0.0 %","100.0 %","0.0 %","4676"
"Jeff Francis","Rockies","27","11","1","11","0","0","0","0","0","0","0","0","10","0","0","0","0","0","0","0","0","11","0","8","12","20","36.4 %","45.5 %","18.2 %","45.5 %","54.6 %","0.0 %","4684"
"Donnie Murphy","Athletics","25","2","2","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","2","3","5","50.0 %","50.0 %","0.0 %","50.0 %","50.0 %","0.0 %","4704"
"Jeremy Reed","Mariners","27","11","8","11","0","0","0","0","0","0","0","0","3","0","0","0","0","0","0","0","0","11","0","5","15","20","45.5 %","0.0 %","54.6 %","9.1 %","63.6 %","27.3 %","4730"
"Matt Cain","Giants","23","6","1","7","0","0","0","0","0","0","0","0","6","0","0","0","0","0","0","0","0","7","0","2","12","14","14.3 %","42.9 %","42.9 %","42.9 %","57.1 %","0.0 %","4732"
"Brandon Fahey","Orioles","27","4","2","4","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","4","0","0","4","4","0.0 %","50.0 %","50.0 %","50.0 %","50.0 %","0.0 %","4746"
"Curtis Granderson","Tigers","27","4","3","4","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","4","1","3","5","8","75.0 %","25.0 %","0.0 %","0.0 %","75.0 %","25.0 %","4747"
"Jonathan Broxton","Dodgers","24","1","1","1","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","1","0","1","2","3","0.0 %","0.0 %","100.0 %","0.0 %","0.0 %","100.0 %","4759"
"Felix Hernandez","Mariners","22","1","0","1","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","1","0","1","1","2","0.0 %","0.0 %","100.0 %","0.0 %","100.0 %","0.0 %","4772"
"John Maine","Mets","27","5","0","5","0","0","0","0","0","0","0","0","5","0","0","0","0","0","0","0","0","5","0","1","8","9","20.0 %","80.0 %","0.0 %","60.0 %","40.0 %","0.0 %","4773"
"Kyle McClellan","Cardinals","24","1","0","1","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","1","0","0","1","1","0.0 %","100.0 %","0.0 %","0.0 %","100.0 %","0.0 %","4845"
"Joe Blanton","Phillies","27","6","0","6","0","0","0","0","0","0","0","0","6","0","0","0","0","0","0","0","0","6","1","4","11","15","0.0 %","66.7 %","33.3 %","83.3 %","16.7 %","0.0 %","4849"
"Brent Clevlen","Tigers","24","1","0","1","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","1","0","0","1","1","100.0 %","0.0 %","0.0 %","100.0 %","0.0 %","0.0 %","4863"
"Chuck James","Braves","26","2","2","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","3","3","0.0 %","100.0 %","0.0 %","0.0 %","50.0 %","50.0 %","4886"
"Robert Andino","Marlins","24","2","1","2","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","2","0","2","3","5","50.0 %","0.0 %","50.0 %","0.0 %","0.0 %","100.0 %","4900"
"Alberto Gonzalez","Yankees","25","2","0","2","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","2","0","1","3","4","0.0 %","50.0 %","50.0 %","50.0 %","50.0 %","0.0 %","4906"
"Brad Thompson","Cardinals","26","4","1","4","0","0","0","0","0","0","1","0","3","0","0","0","0","0","0","0","0","4","0","4","7","11","0.0 %","75.0 %","25.0 %","100.0 %","0.0 %","0.0 %","4911"
"Ryan Hanigan","Reds","27","1","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","2","2","4","0.0 %","0.0 %","100.0 %","0.0 %","100.0 %","0.0 %","4952"
"Max Ramirez","Rangers","23","1","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","0","1","1","0.0 %","100.0 %","0.0 %","100.0 %","0.0 %","0.0 %","5039"
"Franklin Morales","Rockies","22","1","0","1","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","1","0","0","2","2","0.0 %","100.0 %","0.0 %","0.0 %","100.0 %","0.0 %","5088"
"Rick VandenHurk","Marlins","23","2","0","2","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","2","0","2","3","5","0.0 %","50.0 %","50.0 %","50.0 %","50.0 %","0.0 %","5099"
"Chin-lung Hu","Dodgers","24","3","1","3","0","0","0","0","0","0","1","0","2","0","0","0","0","0","0","0","0","3","1","6","5","11","0.0 %","66.7 %","33.3 %","33.3 %","33.3 %","33.3 %","5198"
"Mike Pelfrey","Mets","24","7","1","9","0","0","0","0","0","0","0","0","8","0","0","0","0","0","0","0","0","9","0","3","14","17","0.0 %","44.4 %","55.6 %","33.3 %","66.7 %","0.0 %","5203"
"Alex Gordon","Royals","24","3","2","3","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","3","0","0","3","3","0.0 %","100.0 %","0.0 %","0.0 %","100.0 %","0.0 %","5209"
"Wade LeBlanc","Padres","23","1","0","1","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","1","0","1","1","2","0.0 %","100.0 %","0.0 %","0.0 %","100.0 %","0.0 %","5221"
"Cameron Maybin","Marlins","21","1","0","1","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","1","0","0","1","1","100.0 %","0.0 %","0.0 %","0.0 %","100.0 %","0.0 %","5223"
"Drew Macias","Padres","25","1","0","1","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","1","0","0","1","1","0.0 %","0.0 %","100.0 %","0.0 %","0.0 %","100.0 %","5451"
"Bryan LaHair","Mariners","25","1","0","1","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","1","0","0","2","2","0.0 %","0.0 %","100.0 %","0.0 %","100.0 %","0.0 %","5462"
"Dana Eveland","Athletics","24","1","0","1","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","1","1","0","1","1","0.0 %","0.0 %","100.0 %","0.0 %","100.0 %","0.0 %","5508"
"Jair Jurrjens","Braves","22","10","4","11","0","0","0","0","0","0","0","0","7","0","0","0","0","0","0","0","0","11","0","3","21","24","27.3 %","54.6 %","18.2 %","54.6 %","45.5 %","0.0 %","5556"
"Jo-Jo Reyes","Braves","23","5","2","5","0","0","0","0","0","0","0","0","3","2","0","0","0","0","0","0","0","5","0","3","9","12","20.0 %","40.0 %","40.0 %","40.0 %","60.0 %","0.0 %","5559"
"Josh Banks","Padres","25","3","1","3","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","3","0","0","6","6","0.0 %","66.7 %","33.3 %","0.0 %","66.7 %","33.3 %","5570"
"Mitch Maier","Royals","26","2","0","2","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","2","0","0","2","2","50.0 %","0.0 %","50.0 %","100.0 %","0.0 %","0.0 %","5588"
"Matt Kemp","Dodgers","23","1","0","1","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","1","0","0","1","1","0.0 %","100.0 %","0.0 %","100.0 %","0.0 %","0.0 %","5631"
"Tim Lincecum","Giants","24","7","2","8","0","0","0","0","0","0","0","0","6","0","0","0","0","0","0","0","0","8","0","3","11","14","50.0 %","50.0 %","0.0 %","37.5 %","50.0 %","12.5 %","5705"
"Greg Reynolds","Rockies","22","3","2","3","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","3","0","1","6","7","0.0 %","100.0 %","0.0 %","66.7 %","33.3 %","0.0 %","5712"
"Brian Bannister","Royals","27","1","0","1","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","1","0","0","1","1","0.0 %","100.0 %","0.0 %","0.0 %","100.0 %","0.0 %","5718"
"Kenji Johjima","Mariners","32","3","2","3","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","3","0","2","6","8","0.0 %","66.7 %","33.3 %","33.3 %","66.7 %","0.0 %","5811"
"Chad Billingsley","Dodgers","23","7","3","8","0","0","0","0","0","0","1","0","5","0","0","0","0","0","0","0","0","8","0","4","13","17","0.0 %","75.0 %","25.0 %","62.5 %","37.5 %","0.0 %","5842"
"Radhames Liz","Orioles","24","1","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","3","3","0.0 %","0.0 %","100.0 %","0.0 %","100.0 %","0.0 %","5843"
"Jeff Karstens","Pirates","25","1","0","2","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","2","0","0","2","2","50.0 %","50.0 %","0.0 %","50.0 %","50.0 %","0.0 %","5879"
"Pat Misch","Giants","26","4","2","5","0","0","0","0","0","0","0","0","3","0","0","0","0","0","0","0","0","5","0","0","9","9","20.0 %","60.0 %","20.0 %","0.0 %","100.0 %","0.0 %","5909"
"Mike Aviles","Royals","27","1","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","1","1","2","0.0 %","0.0 %","100.0 %","0.0 %","0.0 %","100.0 %","5986"
"Conor Jackson","Diamondbacks","26","2","1","2","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","2","0","0","2","2","100.0 %","0.0 %","0.0 %","0.0 %","50.0 %","50.0 %","5997"
"Jerry Owens","White Sox","27","2","1","2","0","0","0","0","0","0","1","0","1","0","0","0","0","0","0","0","0","2","0","1","3","4","50.0 %","50.0 %","0.0 %","50.0 %","50.0 %","0.0 %","6002"
"Josh Anderson","Braves","25","3","2","3","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","3","0","0","3","3","33.3 %","33.3 %","33.3 %","33.3 %","33.3 %","33.3 %","6032"
"Matt Chico","Nationals","25","2","0","2","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","2","0","0","2","2","0.0 %","50.0 %","50.0 %","50.0 %","50.0 %","0.0 %","6068"
"Brendan Ryan","Cardinals","26","4","1","4","0","0","0","0","0","0","0","0","3","0","0","0","0","0","0","0","0","4","0","6","9","15","25.0 %","75.0 %","0.0 %","75.0 %","25.0 %","0.0 %","6073"
"T.J. Beam","Pirates","27","1","0","1","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","1","0","3","3","6","0.0 %","100.0 %","0.0 %","0.0 %","100.0 %","0.0 %","6101"
"Tony Gwynn","Brewers","25","2","1","2","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","2","0","0","4","4","50.0 %","0.0 %","50.0 %","0.0 %","100.0 %","0.0 %","6141"
"Brian Anderson","White Sox","26","2","0","2","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","2","0","0","4","4","50.0 %","0.0 %","50.0 %","50.0 %","50.0 %","0.0 %","6144"
"Scott Baker","Twins","26","2","0","3","0","0","0","0","0","0","0","0","3","0","0","0","0","0","0","0","0","3","0","2","5","7","0.0 %","33.3 %","66.7 %","33.3 %","66.7 %","0.0 %","6176"
"Kyle Kendrick","Phillies","23","7","1","7","0","0","0","0","0","0","0","0","6","0","0","0","0","0","0","0","0","7","0","2","12","14","0.0 %","57.1 %","42.9 %","71.4 %","28.6 %","0.0 %","6230"
"Tom Gorzelanny","Pirates","25","6","2","8","0","0","0","0","0","0","0","0","6","1","0","0","0","0","0","0","0","8","0","2","18","20","62.5 %","37.5 %","0.0 %","37.5 %","62.5 %","0.0 %","6244"
"Andre Ethier","Dodgers","26","1","0","1","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","1","0","0","2","2","0.0 %","100.0 %","0.0 %","0.0 %","100.0 %","0.0 %","6265"
"Matt Murton","Athletics","26","1","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","1","2","3","100.0 %","0.0 %","0.0 %","0.0 %","0.0 %","100.0 %","6307"
"John Danks","White Sox","23","1","1","1","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","1","0","1","1","2","0.0 %","100.0 %","0.0 %","100.0 %","0.0 %","0.0 %","6329"
"Omar Quintanilla","Rockies","26","11","3","11","0","0","0","0","0","0","0","0","8","0","0","0","0","0","0","0","0","11","0","4","15","19","36.4 %","54.6 %","9.1 %","54.6 %","45.5 %","0.0 %","6335"
"Andy LaRoche","- - -","24","3","1","3","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","3","0","3","5","8","33.3 %","0.0 %","66.7 %","66.7 %","33.3 %","0.0 %","6444"
"Sean Rodriguez","Angels","23","4","2","4","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","4","0","3","8","11","25.0 %","50.0 %","25.0 %","75.0 %","25.0 %","0.0 %","6589"
"Daryl Thompson","Reds","22","1","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","1","1","0.0 %","0.0 %","100.0 %","100.0 %","0.0 %","0.0 %","6603"
"Shairon Martis","Nationals","21","1","2","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","1","3","4","0.0 %","50.0 %","50.0 %","50.0 %","50.0 %","0.0 %","6781"
"Andrew Miller","Marlins","23","2","0","2","0","0","0","0","0","0","1","0","2","0","0","0","0","0","0","0","0","2","0","0","3","3","50.0 %","0.0 %","50.0 %","0.0 %","100.0 %","0.0 %","6785"
"Collin Balester","Nationals","22","8","2","10","0","0","0","0","0","0","0","0","8","0","0","0","0","0","0","0","0","10","0","2","17","19","10.0 %","30.0 %","60.0 %","30.0 %","70.0 %","0.0 %","6883"
"Luke Hochevar","Royals","24","1","0","1","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","1","0","1","1","2","0.0 %","0.0 %","100.0 %","0.0 %","100.0 %","0.0 %","6943"
"Brandon Jones","Braves","24","3","0","3","0","0","0","0","0","0","0","0","3","0","0","0","0","0","0","0","0","3","0","1","3","4","33.3 %","0.0 %","66.7 %","33.3 %","66.7 %","0.0 %","6987"
"Yadier Molina","Cardinals","25","3","0","3","0","0","0","0","0","0","0","0","3","0","0","0","0","0","0","0","0","3","1","0","4","4","0.0 %","100.0 %","0.0 %","33.3 %","66.7 %","0.0 %","7007"
"Hong-Chih Kuo","Dodgers","26","2","0","2","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","2","0","1","3","4","0.0 %","100.0 %","0.0 %","50.0 %","50.0 %","0.0 %","7016"
"Merkin Valdez","Giants","26","1","0","1","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","1","0","0","1","1","100.0 %","0.0 %","0.0 %","0.0 %","100.0 %","0.0 %","7019"
"John Lannan","Nationals","23","7","1","7","0","0","0","0","0","0","0","0","6","0","0","0","0","0","0","0","0","7","0","3","11","14","0.0 %","71.4 %","28.6 %","57.1 %","42.9 %","0.0 %","7080"
"Chris Dickerson","Reds","26","3","2","3","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","3","0","1","5","6","0.0 %","66.7 %","33.3 %","66.7 %","0.0 %","33.3 %","7095"
"Chris Coste","Phillies","35","4","1","4","0","0","0","0","0","0","0","0","3","0","0","0","0","0","0","0","0","4","0","1","6","7","0.0 %","50.0 %","50.0 %","50.0 %","25.0 %","25.0 %","7243"
"Garrett Mock","Nationals","25","1","0","1","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","1","0","1","3","4","0.0 %","0.0 %","100.0 %","0.0 %","100.0 %","0.0 %","7335"
"J.R. Towles","Astros","24","3","1","4","0","0","0","0","0","0","0","0","3","0","0","0","0","0","0","0","0","4","0","2","4","6","50.0 %","25.0 %","25.0 %","50.0 %","50.0 %","0.0 %","7348"
"Billy Butler","Royals","22","1","1","1","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","1","0","0","1","1","0.0 %","100.0 %","0.0 %","0.0 %","100.0 %","0.0 %","7399"
"J.A. Happ","Phillies","25","2","0","2","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","2","0","1","3","4","0.0 %","100.0 %","0.0 %","0.0 %","100.0 %","0.0 %","7410"
"Paul Janish","Reds","25","2","2","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","2","2","50.0 %","50.0 %","0.0 %","50.0 %","50.0 %","0.0 %","7412"
