name,url,team,pos,owner,orank,rank,owned
Trevor Plouffe,http://sports.yahoo.com/mlb/players/8733,Min,3B,FA,304,169,23%
Nori Aoki,http://sports.yahoo.com/mlb/players/9094,SF,OF,FA,306,234,38%
James Loney,http://sports.yahoo.com/mlb/players/7725,TB,1B,FA,309,171,4%
Josh Reddick,http://sports.yahoo.com/mlb/players/8544,Oak,OF,King of Chardonnay,314,305,74%
Ryan Howard,http://sports.yahoo.com/mlb/players/7437,Phi,1B,FA,329,180,11%
Brandon Crawford,http://sports.yahoo.com/mlb/players/8945,SF,SS,FA,336,299,28%
Lonnie Chisenhall,http://sports.yahoo.com/mlb/players/8852,Cle,1B/3B,FA,343,191,7%
Alejandro De Aza,http://sports.yahoo.com/mlb/players/7996,Bal,OF,W (May 8),345,314,8%
Luis Valbuena,http://sports.yahoo.com/mlb/players/8361,Hou,2B/3B,BeAsT mOdE,347,264,24%
Derek Norris,http://sports.yahoo.com/mlb/players/8876,SD,C,Rain On 'Em,348,344,82%
David Freese,http://sports.yahoo.com/mlb/players/8402,LAA,3B,Slow Rollers,353,350,17%
DJ LeMahieu,http://sports.yahoo.com/mlb/players/8949,Col,2B,The Alliance,354,330,42%
Jed Lowrie,http://sports.yahoo.com/mlb/players/8200,Hou,SS,FA,355,461,13%
Jon Jay,http://sports.yahoo.com/mlb/players/8717,StL,OF,FA,362,286,6%
Justin Turner,http://sports.yahoo.com/mlb/players/8588,LAD,2B/3B/SS,FA,364,248,11%
Colby Rasmus,http://sports.yahoo.com/mlb/players/8190,Hou,OF,FA,372,447,9%
Juan Lagares,http://sports.yahoo.com/mlb/players/9377,NYM,OF,FA,379,319,13%
Gerardo Parra,http://sports.yahoo.com/mlb/players/8473,Mil,OF,FA,389,300,2%
Juan Uribe,http://sports.yahoo.com/mlb/players/6698,LAD,3B,FA,394,304,3%
Dustin Ackley,http://sports.yahoo.com/mlb/players/8648,Sea,OF,FA,395,215,5%
Chris Johnson,http://sports.yahoo.com/mlb/players/8585,Atl,3B,FA,397,351,3%
Ender Inciarte,http://sports.yahoo.com/mlb/players/9355,Ari,OF,A-Rods Dope Supplier,405,325,30%
Stephen Vogt,http://sports.yahoo.com/mlb/players/9147,Oak,C/1B/OF,A-Rods Dope Supplier,409,726,93%
Adeiny Hechavarria,http://sports.yahoo.com/mlb/players/9259,Mia,SS,A-Rods Dope Supplier,410,456,76%
Omar Infante,http://sports.yahoo.com/mlb/players/7016,KC,2B,FA,411,336,4%
Seth Smith,http://sports.yahoo.com/mlb/players/8144,Sea,OF,FA,414,327,3%
Dioner Navarro,http://sports.yahoo.com/mlb/players/7276,Tor,C,FA,415,274,4%
Brock Holt,http://sports.yahoo.com/mlb/players/9292,Bos,1B/2B/3B/SS/OF,A-Rods Dope Supplier,425,280,32%
Andrelton Simmons,http://sports.yahoo.com/mlb/players/9201,Atl,SS,FA,444,669,25%
Ichiro Suzuki,http://sports.yahoo.com/mlb/players/6615,Mia,OF,FA,454,512,3%
Domonic Brown,http://sports.yahoo.com/mlb/players/8644,Phi,OF,FA,457,387,2%
Dayan Viciedo,http://sports.yahoo.com/mlb/players/8398,Tor,OF,FA,460,278,1%
Casey McGehee,http://sports.yahoo.com/mlb/players/8359,SF,3B,FA,469,196,4%
Mike Moustakas,http://sports.yahoo.com/mlb/players/8685,KC,3B,JeRsEy FU's,473,638,70%
Jarrod Dyson,http://sports.yahoo.com/mlb/players/8817,KC,OF,FA,476,365,2%
Chris Young,http://sports.yahoo.com/mlb/players/7738,NYY,OF,JeRsEy FU's,489,629,31%
Conor Gillaspie,http://sports.yahoo.com/mlb/players/8378,CWS,3B,FA,495,321,1%
Mark Reynolds,http://sports.yahoo.com/mlb/players/8030,StL,1B/3B,FA,512,470,2%
Chris Coghlan,http://sports.yahoo.com/mlb/players/8469,ChC,OF,FA,518,312,2%
Yangervis Solarte,http://sports.yahoo.com/mlb/players/9657,SD,1B/2B/3B,FA,520,371,15%
Aaron Hill,http://sports.yahoo.com/mlb/players/7483,Ari,2B/3B,FA,525,372,6%
Gregor Blanco,http://sports.yahoo.com/mlb/players/7937,SF,OF,FA,536,355,1%
Zack Cozart,http://sports.yahoo.com/mlb/players/8628,Cin,SS,Slow Rollers,537,892,55%
Eric Young Jr.,http://sports.yahoo.com/mlb/players/8399,Atl,OF,FA,543,487,2%
Logan Morrison,http://sports.yahoo.com/mlb/players/8633,Sea,1B/OF,FA,549,446,5%
Michael Bourn,http://sports.yahoo.com/mlb/players/7828,Cle,OF,FA,561,502,3%
Josh Hamilton,http://sports.yahoo.com/mlb/players/6679,Tex,OF,Daddy W,563,421,33%
Jordy Mercer,http://sports.yahoo.com/mlb/players/9198,Pit,SS,FA,578,307,4%
Jason Castro,http://sports.yahoo.com/mlb/players/8635,Hou,C,FA,621,584,9%
Mike Aviles,http://sports.yahoo.com/mlb/players/8260,Cle,2B/3B/SS/OF,FA,640,530,3%
Garrett Jones,http://sports.yahoo.com/mlb/players/8024,NYY,1B/OF,FA,747,341,1%
Matt Joyce,http://sports.yahoo.com/mlb/players/8239,LAA,OF,FA,749,391,1%
Kurt Suzuki,http://sports.yahoo.com/mlb/players/8052,Min,C,FA,768,393,8%
Ike Davis,http://sports.yahoo.com/mlb/players/8666,Oak,1B,FA,797,555,4%
David Peralta,http://sports.yahoo.com/mlb/players/9719,Ari,OF,FA,804,404,2%
Will Venable,http://sports.yahoo.com/mlb/players/8340,SD,OF,FA,814,679,1%
Daniel Nava,http://sports.yahoo.com/mlb/players/8742,Bos,1B/OF,FA,815,601,1%
Emilio Bonifacio,http://sports.yahoo.com/mlb/players/8112,CWS,2B/OF,FA,824,385,1%
David Murphy,http://sports.yahoo.com/mlb/players/7862,Cle,OF,FA,827,411,1%
A.J. Pierzynski,http://sports.yahoo.com/mlb/players/6109,Atl,C,FA,835,926,49%
Yunel Escobar,http://sports.yahoo.com/mlb/players/7938,Was,3B/SS,FA,871,814,7%
Scott Van Slyke,http://sports.yahoo.com/mlb/players/9177,LAD,1B/OF,FA,902,506,2%
Travis Snider,http://sports.yahoo.com/mlb/players/8304,Bal,OF,FA,907,503,5%
Sam Fuld,http://sports.yahoo.com/mlb/players/8133,Oak,OF,FA,910,485,4%
Delmon Young,http://sports.yahoo.com/mlb/players/7467,Bal,OF,FA,946,688,1%
Kelly Johnson,http://sports.yahoo.com/mlb/players/7558,Atl,1B/3B/OF,FA,975,962,16%
Jake Marisnick,http://sports.yahoo.com/mlb/players/9340,Hou,OF,Dugo's Way,982,940,78%
Eduardo Escobar,http://sports.yahoo.com/mlb/players/9054,Min,2B/3B/SS/OF,FA,983,436,1%
Mike Zunino,http://sports.yahoo.com/mlb/players/9322,Sea,C,Stiinta Craiova,985,424,16%
Yonder Alonso,http://sports.yahoo.com/mlb/players/8660,SD,1B,FA,991,897,10%
Kevin Kiermaier,http://sports.yahoo.com/mlb/players/9538,TB,OF,FA,1008,561,12%
Matt Dominguez,http://sports.yahoo.com/mlb/players/8683,Hou,3B,FA,1020,606,0%
Alex Avila,http://sports.yahoo.com/mlb/players/8550,Det,C,FA,1023,755,12%
Tyler Flowers,http://sports.yahoo.com/mlb/players/8572,CWS,C,FA,1031,469,4%
Melvin Upton Jr.,http://sports.yahoo.com/mlb/players/7333,SD,OF,FA,1035,392,1%
Allen Craig,http://sports.yahoo.com/mlb/players/8649,Bos,1B/OF,FA,1036,895,2%
Gordon Beckham,http://sports.yahoo.com/mlb/players/8422,CWS,2B/3B,FA,1041,622,1%
Cody Asche,http://sports.yahoo.com/mlb/players/9477,Phi,3B,FA,1052,525,2%
Rickie Weeks,http://sports.yahoo.com/mlb/players/7213,Sea,2B/OF,FA,1054,652,1%
Everth Cabrera,http://sports.yahoo.com/mlb/players/8430,Bal,SS,Stoolies,1055,864,2%
Jarrod Saltalamacchia,http://sports.yahoo.com/mlb/players/7939,Mia,C,FA,1068,769,2%
