numer,r,p,obs,ubb,ibb,hbp,so,bu,hrofb,gb,ld,sofb,ofb,ifb
ubb,0.6919787733168874,1.5714816413985757e-196,1375,1,0,1,1,0,0,0,0,0,0,0
ubb,0.73442266054276861,1.2396498104732906e-226,1335,1,0,1,0,1,0,0,0,0,0,0
ubb,0.67599596440613685,2.8771534376801368e-184,1375,1,0,1,0,0,1,0,0,0,0,0
ubb,0.79723535041434046,2.9358357916234513e-303,1375,1,0,1,0,0,0,1,0,0,0,0
ubb,0.74044983378905893,3.4699797947936234e-239,1375,1,0,1,0,0,0,0,1,0,0,0
ubb,0.56898981910685476,1.9345711907093169e-118,1371,1,0,1,0,0,0,0,0,1,0,0
ubb,0.73078823222894751,6.0670542678764726e-230,1375,1,0,1,0,0,0,0,0,0,1,0
ubb,0.72228838870613377,3.8727149008795361e-222,1375,1,0,1,0,0,0,0,0,0,0,1
ubb,0.69655139600828075,3.4589887142188147e-200,1375,1,0,0,1,1,0,0,0,0,0,0
ubb,0.69689794508032454,1.8152801186300539e-200,1375,1,0,0,1,0,1,0,0,0,0,0
ubb,0.74251034292191975,3.2775504416408182e-241,1375,1,0,0,1,0,0,1,0,0,0,0
ubb,0.6812091425080109,3.5113916480115536e-188,1375,1,0,0,1,0,0,0,1,0,0,0
ubb,0.69169083628340433,2.6565668989860109e-196,1375,1,0,0,1,0,0,0,0,1,0,0
ubb,0.68621466338076653,5.1309969126357697e-192,1375,1,0,0,1,0,0,0,0,0,1,0
ubb,0.688348426178789,1.1260939664653651e-193,1375,1,0,0,1,0,0,0,0,0,0,1
ubb,0.60828452171798253,6.1788757667661831e-140,1375,1,0,0,0,1,1,0,0,0,0,0
ubb,0.80460887568085759,4.369450042125873e-313,1375,1,0,0,0,1,0,1,0,0,0,0
ubb,0.76257988835527224,5.3019885562633621e-262,1375,1,0,0,0,1,0,0,1,0,0,0
ubb,0.68650681464715146,1.091822121745464e-191,1371,1,0,0,0,1,0,0,0,1,0,0
ubb,0.74066657271683911,2.1293914502320398e-239,1375,1,0,0,0,1,0,0,0,0,1,0
ubb,0.76217893636154266,3.4508702697963833e-261,1373,1,0,0,0,1,0,0,0,0,0,1
ubb,0.78272558010333093,4.6251583442015563e-285,1375,1,0,0,0,0,1,1,0,0,0,0
ubb,0.70821789316327499,7.6960045156265483e-210,1375,1,0,0,0,0,1,0,1,0,0,0
ubb,0.66842476562717257,2.4368307913084068e-178,1372,1,0,0,0,0,1,0,0,1,0,0
ubb,0.71691392214526306,2.3668955037286223e-217,1375,1,0,0,0,0,1,0,0,0,1,0
ubb,0.7212770696957721,3.1423425819237541e-221,1375,1,0,0,0,0,1,0,0,0,0,1
ubb,0.79279130088933847,1.570093078890992e-297,1375,1,0,0,0,0,0,1,1,0,0,0
ubb,0.796663859297841,1.6306313172949939e-302,1375,1,0,0,0,0,0,1,0,1,0,0
ubb,0.78020546502333288,4.8189564454742014e-282,1375,1,0,0,0,0,0,1,0,0,1,0
