r,obs,ubb,ibb,hbp,so,bu,hrofb,gb,ld,sofb,ofb,ifb
0.70923472103136764,1335,0,0,1,0,1,0,0,0,0,0,0
0.74074923256843994,1375,0,0,1,0,0,1,0,0,0,0,0
0.84003550056431253,1375,0,0,1,0,0,0,1,0,0,0,0
0.53788646252096772,1375,0,0,1,0,0,0,0,1,0,0,0
0.49016866423802369,1371,0,0,1,0,0,0,0,0,1,0,0
0.67275407807588949,1375,0,0,1,0,0,0,0,0,0,1,0
0.695404674476086,1375,0,0,1,0,0,0,0,0,0,0,1
0.85479604029751999,1375,0,0,0,1,1,0,0,0,0,0,0
0.88101982204691909,1375,0,0,0,1,0,1,0,0,0,0,0
0.75336165090869911,1375,0,0,0,1,0,0,1,0,0,0,0
0.74765300428324422,1375,0,0,0,1,0,0,0,1,0,0,0
0.87141508145953273,1375,0,0,0,1,0,0,0,0,1,0,0
0.79114263717793709,1375,0,0,0,1,0,0,0,0,0,1,0
0.85588938888057242,1375,0,0,0,1,0,0,0,0,0,0,1
0.59152096588623293,1375,0,0,0,0,1,1,0,0,0,0,0
0.85759368631819355,1375,0,0,0,0,1,0,1,0,0,0,0
0.66731821334133734,1375,0,0,0,0,1,0,0,1,0,0,0
0.63874714979161851,1371,0,0,0,0,1,0,0,0,1,0,0
0.66509335772835743,1375,0,0,0,0,1,0,0,0,0,1,0
0.74382736371770286,1373,0,0,0,0,1,0,0,0,0,0,1
0.81047325692982819,1375,0,0,0,0,0,1,1,0,0,0,0
0.40646345018834723,1375,0,0,0,0,0,1,0,1,0,0,0
0.7405033930526016,1372,0,0,0,0,0,1,0,0,1,0,0
0.70425425070499303,1375,0,0,0,0,0,1,0,0,0,1,0
0.77165984879895788,1375,0,0,0,0,0,1,0,0,0,0,1
0.84660725918964075,1375,0,0,0,0,0,0,1,1,0,0,0
0.83519989267669281,1375,0,0,0,0,0,0,1,0,1,0,0
0.81708329768958021,1375,0,0,0,0,0,0,1,0,0,1,0
0.83930231706815528,1375,0,0,0,0,0,0,1,0,0,0,1
0.53843651632769585,1375,0,0,0,0,0,0,0,1,1,0,0
0.7507486389673047,1375,0,0,0,0,0,0,0,1,0,1,0
0.55902680722178488,1375,0,0,0,0,0,0,0,1,0,0,1
0.68557122765289524,1375,0,0,0,0,0,0,0,0,1,1,0
0.65251412678658449,1373,0,0,0,0,0,0,0,0,1,0,1
0.73182020037843731,1375,0,0,0,0,0,0,0,0,0,1,1
0.74564196847373065,1375,1,1,1,0,0,0,0,0,0,0,0
0.87974400462021485,1375,1,1,0,1,0,0,0,0,0,0,0
0.73703511534734301,1375,1,1,0,0,1,0,0,0,0,0,0
0.79731111480721972,1375,1,1,0,0,0,1,0,0,0,0,0
0.77854115998150886,1375,1,1,0,0,0,0,1,0,0,0,0
0.58100879081927537,1375,1,1,0,0,0,0,0,1,0,0,0
0.75120358371191198,1375,1,1,0,0,0,0,0,0,1,0,0
0.70879025235931481,1375,1,1,0,0,0,0,0,0,0,1,0
0.73936174113691366,1375,1,1,0,0,0,0,0,0,0,0,1
0.87433657273346199,1375,1,0,1,1,0,0,0,0,0,0,0
0.73421820157086426,1375,1,0,1,0,1,0,0,0,0,0,0
0.7861340219739914,1375,1,0,1,0,0,1,0,0,0,0,0
0.78049633157791543,1375,1,0,1,0,0,0,1,0,0,0,0
0.55068336248155014,1375,1,0,1,0,0,0,0,1,0,0,0
0.74144196917793115,1375,1,0,1,0,0,0,0,0,1,0,0
0.69955000963094571,1375,1,0,1,0,0,0,0,0,0,1,0
0.72953686691851416,1375,1,0,1,0,0,0,0,0,0,0,1
0.865585163972451,1375,1,0,0,1,1,0,0,0,0,0,0
0.88596220929036862,1375,1,0,0,1,0,1,0,0,0,0,0
0.75474619786237251,1375,1,0,0,1,0,0,1,0,0,0,0
0.81303488464238427,1375,1,0,0,1,0,0,0,1,0,0,0
0.87893850440200627,1375,1,0,0,1,0,0,0,0,1,0,0
0.84036863835949394,1375,1,0,0,1,0,0,0,0,0,1,0
0.86920194059788392,1375,1,0,0,1,0,0,0,0,0,0,1
0.74909071278670003,1375,1,0,0,0,1,1,0,0,0,0,0
0.81039015325773345,1375,1,0,0,0,1,0,1,0,0,0,0
0.5981011118979408,1375,1,0,0,0,1,0,0,1,0,0,0
0.73406866532335502,1375,1,0,0,0,1,0,0,0,1,0,0
0.6636503554749672,1375,1,0,0,0,1,0,0,0,0,1,0
0.71994582709444943,1375,1,0,0,0,1,0,0,0,0,0,1
0.74052782822449581,1375,1,0,0,0,0,1,1,0,0,0,0
0.5901447190191611,1375,1,0,0,0,0,1,0,1,0,0,0
0.79077348098095579,1375,1,0,0,0,0,1,0,0,1,0,0
0.74923090941188819,1375,1,0,0,0,0,1,0,0,0,1,0
0.78676097317190119,1375,1,0,0,0,0,1,0,0,0,0,1
0.8020477373600946,1375,1,0,0,0,0,0,1,1,0,0,0
0.77411140645683152,1375,1,0,0,0,0,0,1,0,1,0,0
0.74766426875754499,1375,1,0,0,0,0,0,1,0,0,1,0
0.76924674505650381,1375,1,0,0,0,0,0,1,0,0,0,1
0.54983243489133737,1375,1,0,0,0,0,0,0,1,1,0,0
0.72187237669931414,1375,1,0,0,0,0,0,0,1,0,1,0
0.52272027573170921,1375,1,0,0,0,0,0,0,1,0,0,1
0.71063077097936178,1375,1,0,0,0,0,0,0,0,1,1,0
0.73045257205821423,1375,1,0,0,0,0,0,0,0,1,0,1
0.73568134662041962,1375,1,0,0,0,0,0,0,0,0,1,1
0.86587156597859982,1375,0,1,1,1,0,0,0,0,0,0,0
0.62779094436355609,1375,0,1,1,0,1,0,0,0,0,0,0
0.76557965476395551,1375,0,1,1,0,0,1,0,0,0,0,0
0.83705110427357643,1375,0,1,1,0,0,0,1,0,0,0,0
0.52904927031230842,1375,0,1,1,0,0,0,0,1,0,0,0
0.54422072344914119,1375,0,1,1,0,0,0,0,0,1,0,0
0.66671797882741513,1375,0,1,1,0,0,0,0,0,0,1,0
0.66817523832107717,1375,0,1,1,0,0,0,0,0,0,0,1
0.85399511635269543,1375,0,1,0,1,1,0,0,0,0,0,0
0.88361284670929663,1375,0,1,0,1,0,1,0,0,0,0,0
0.75003650550413792,1375,0,1,0,1,0,0,1,0,0,0,0
0.75026422791618219,1375,0,1,0,1,0,0,0,1,0,0,0
0.87276735070208911,1375,0,1,0,1,0,0,0,0,1,0,0
0.79389150381065821,1375,0,1,0,1,0,0,0,0,0,1,0
0.8577090120815446,1375,0,1,0,1,0,0,0,0,0,0,1
0.6212144284287231,1375,0,1,0,0,1,1,0,0,0,0,0
0.85442329768166025,1375,0,1,0,0,1,0,1,0,0,0,0
0.63512227287994749,1375,0,1,0,0,1,0,0,1,0,0,0
0.56517234204522693,1375,0,1,0,0,1,0,0,0,1,0,0
0.64106695642939138,1375,0,1,0,0,1,0,0,0,0,1,0
0.66213928586281479,1375,0,1,0,0,1,0,0,0,0,0,1
0.80828330369018675,1375,0,1,0,0,0,1,1,0,0,0,0
0.47804132019556123,1375,0,1,0,0,0,1,0,1,0,0,0
0.77441032774175633,1373,0,1,0,0,0,1,0,0,1,0,0
0.71275055095733542,1375,0,1,0,0,0,1,0,0,0,1,0
0.78524061903310605,1375,0,1,0,0,0,1,0,0,0,0,1
0.84339212112024786,1375,0,1,0,0,0,0,1,1,0,0,0
0.83214024253180252,1375,0,1,0,0,0,0,1,0,1,0,0
0.8119333584638373,1375,0,1,0,0,0,0,1,0,0,1,0
0.83567218203836346,1375,0,1,0,0,0,0,1,0,0,0,1
0.53065865339485474,1375,0,1,0,0,0,0,0,1,1,0,0
0.74247296478890956,1375,0,1,0,0,0,0,0,1,0,1,0
0.54404068722767773,1375,0,1,0,0,0,0,0,1,0,0,1
0.68062884846270244,1375,0,1,0,0,0,0,0,0,1,1,0
0.65255118672584944,1375,0,1,0,0,0,0,0,0,1,0,1
0.72571678686151075,1375,0,1,0,0,0,0,0,0,0,1,1
0.84977993521835427,1375,0,0,1,1,1,0,0,0,0,0,0
