fg_id,fg_name,role,fg_last,fg_first,bbm_id,bbm_last,bbm_first,yh_id,yh_last,yh_first,yh_team,yh_pos,howe_id,mlb_id
5248,Alexi Casilla,bat,Casilla,Alexi,817,Casilla,Alexi,7855,Casilla,Alexi,BAL,Util,,458210
5254,Robbie Grossman,bat,Grossman,Robbie,7161,Grossman,Robbie,9378,Grossman,Robbie,,OF,GROSSMAN19890916A,543257
5257,Wilmer Font,pit,Font,Wilmer,6490,Font,Wilmer,9042,Font,Wilmer,TEX,RP,,521655
5261,Casey Crosby,pit,Crosby,Casey,7619,Crosby,Casey,9200,Crosby,Casey,DET,SP,,518582
5273,Sandy Leon,bat,Leon,Sandy,7658,Leon,Sandy,9180,Leon,Sandy,WAS,C,LEON19890313A,506702
5275,Francisco Cervelli,bat,Cervelli,Francisco,862,Cervelli,Francisco,8387,Cervelli,Francisco,NYY,C/1B,CERVELLI19860306A,465041
5277,Tuffy Gosewisch,bat,Gosewisch,Tuffy,6369,Gosewisch,Tuffy,9479,Gosewisch,Tuffy,,C,GOSEWISCH19830817A,488912
5278,Pedro Ciriaco,bat,Ciriaco,Pedro,5540,Ciriaco,Pedro,8822,Ciriaco,Pedro,BOS,2B,,465674
5279,Chris Tillman,pit,Tillman,Chris,5823,Tillman,Chris,8411,Tillman,Chris,BAL,SP,TILLMAN19880415A,501957
5280,Esmerling Vasquez,pit,Vasquez,Esmerling,,,,8459,,,,SP,,458220
5284,Esmailin Caridad,pit,Caridad,Esmailin,,,,,,,,,,534428
5285,Samuel Deduno,pit,Deduno,Samuel,5554,Deduno,Samuel,8604,Deduno,Samuel,MIN,RP/SP,DEDUNO19830702A,465679
5297,Aaron Hicks,bat,Hicks,Aaron,7245,Hicks,Aaron,9325,Hicks,Aaron,MIN,OF,HICKS19891002A,543305
5298,Kyle Skipworth,bat,Skipworth,Kyle,6582,Skipworth,Kyle,9360,Skipworth,Kyle,,C,,543788
5305,Alex Presley,bat,Presley,Alex,6174,Presley,Alex,8823,Presley,Alex,PIT,OF,PRESLEY19850725A,502100
5306,Kristopher Negron,bat,Negron,Kristopher,6447,Negron,Kris,9210,Negron,Kristopher,,2B/3B,NEGRON19860201A,502117
5310,Tyler Colvin,bat,Colvin,Tyler,5864,Colvin,Tyler,8605,Colvin,Tyler,COL,OF,,502125
5311,Chad Huffman,bat,Huffman,Chad,,,,,,,,,,502151
5312,Brad Harman,bat,Harman,Brad,,,,,,,,,,465705
5329,Mark Hamburger,pit,Hamburger,Mark,,,,,,,,,,523648
5332,Atahualpa Severino,pit,Severino,Atahualpa,,,,,,,,,,463037
5337,Cristhian Martinez,pit,Martinez,Cristhian,5792,Martinez,Cristhian,8481,Martinez,Cristhian,ATL,RP,,450852
5342,Mauro Gomez,bat,Gomez,Mauro,7504,Gomez,Mauro,9182,Gomez,Mauro,BOS,1B,,450855
5343,Brandon Crawford,bat,Crawford,Brandon,6239,Crawford,Brandon,8945,Crawford,Brandon,SF,SS,CRAWFORD19870121A,543063
5350,Alex Sanabia,pit,Sanabia,Alex,6128,Sanabia,Alejandro,8750,Sanabia,Alex,MIA,SP,,502253
5352,Yangervis Solarte,bat,Solarte,Yangervis,7008,Yangervis,Solarte,9657,Solarte,Yangervis,,2B/3B,SOLARTE19870707A,500208
5354,D.J. Mitchell,pit,Mitchell,D.J.,,,,9169,,,,RP,,543551
5358,Jose Alvarez,pit,Alvarez,Jose,7712,Alvarez,Jose,9429,Alvarez,Jose,,RP/SP,,501625
5360,Henry Villar,pit,Villar,Henry,,,,,,,,,,492821
5361,Freddie Freeman,bat,Freeman,Freddie,6158,Freeman,Freddie,8658,Freeman,Freddie,ATL,1B,FREEMAN19890912A,518692
5362,Phillippe Aumont,pit,Aumont,Phillippe,6039,Aumont,Phillippe,8643,Aumont,Phillippe,PHI,RP,AUMONT19890107A,518418
5364,Brett Marshall,pit,Marshall,Brett,7632,Marshall,Brett,9398,Marshall,Brett,,RP,,543493
5371,Juan Perez,bat,Perez,Juan,6259,Perez,Juan,9428,Perez,Juan,,OF,,543633
5372,Michael Pineda,pit,Pineda,Michael,6216,Pineda,Michael,8759,Pineda,Michael,NYY,SP,PINEDA19890118A,501381
5380,Luis Perdomo,pit,Perdomo,Luis,,,,8425,Perdomo,Luis,,RP,,466412
5384,Juan Lagares,bat,Lagares,Juan,7268,Lagares,Juan,9377,Lagares,Juan,,OF,LAGARES19890317A,501571
5386,Andrew Lambo,bat,Lambo,Andrew,6402,Lambo,Andrew,9489,Lambo,Andrew,,OF,LAMBO19880811A,518911
