Y1,Y2,R
CG,inLI,0.09
CG,gmLI,-0.04
CG,exLI,0.03
CG,Pulls,-0.16
CG,WPA/LI,0.19
CG,Clutch,-0.04
CG,FA%,-0.19
CG,SL%,-0.01
CG,CT%,0.3
CG,CB%,0.06
CG,CH%,-0.04
CG,SF%,-0.15
CG,PO%,-0.02
CG,wFB,0.03
CG,wSL,0.09
CG,wCT,0.31
CG,wCB,0.13
CG,wCH,0.14
CG,wSF,0.03
CG,O-Swing%,0.16
CG,Z-Swing%,0.01
CG,Swing%,0.15
CG,O-Contact%,-0.11
CG,Z-Contact%,-0.01
CG,Contact%,-0.09
CG,Zone%,0.02
CG,F-Strike%,0.14
CG,SwStr%,0.12
CG,ERA-,-0.17
CG,FIP-,-0.27
CG,xFIP-,-0.3
CG,K%,0.14
CG,BB%,-0.24
CG,SIERA,-0.26
CG,RS/9,0.01
CG,E-F,0.08
ShO,W,0.11
ShO,L,-0.06
ShO,ERA,-0.13
ShO,G,0.02
ShO,GS,0.02
ShO,CG,0.21
ShO,ShO,0.08
ShO,IP,0.16
ShO,TBF,0.14
ShO,H,0.09
ShO,R,-0.07
ShO,ER,-0.08
ShO,HR,-0.08
ShO,BB,-0.13
ShO,IBB,0.01
ShO,HBP,0.08
ShO,WP,-0.06
ShO,BK,-0.07
ShO,SO,0.15
ShO,GB,0.12
ShO,FB,-0.07
ShO,LD,0.04
ShO,IFFB,-0.04
ShO,Balls,-0.04
ShO,Strikes,0.15
ShO,Pitches,0.08
ShO,RS,0.06
ShO,IFH,0.12
ShO,BU,0.08
ShO,BUH,0.01
ShO,K/9,0.1
ShO,BB/9,-0.17
ShO,K/BB,0.24
ShO,H/9,-0.04
ShO,HR/9,-0.12
ShO,AVG,-0.04
ShO,WHIP,-0.13
ShO,BABIP,0.07
ShO,LOB%,0.07
ShO,FIP,-0.19
ShO,GB/FB,0.09
ShO,LD%,-0.01
ShO,GB%,0.1
ShO,FB%,-0.1
ShO,IFFB%,0
ShO,HR/FB,-0.04
ShO,IFH%,0.06
ShO,BUH%,-0.05
ShO,RAR,0.18
ShO,WAR,0.19
ShO,tERA,-0.17
ShO,xFIP,-0.2
ShO,WPA,0.1
ShO,RE24,0.12
ShO,REW,0.12
ShO,pLI,0.14
ShO,inLI,0.1
ShO,gmLI,-0.01
ShO,exLI,0.06
ShO,Pulls,-0.13
ShO,WPA/LI,0.12
ShO,Clutch,-0.05
ShO,FA%,-0.1
ShO,SL%,-0.07
ShO,CT%,0.15
ShO,CB%,0.02
ShO,CH%,0.07
ShO,SF%,-0.14
ShO,PO%,-0.04
ShO,wFB,0.06
ShO,wSL,0.02
ShO,wCT,0.16
ShO,wCB,0.07
ShO,wCH,0.13
ShO,wSF,-0.05
ShO,O-Swing%,0.09
ShO,Z-Swing%,0.07
ShO,Swing%,0.18
ShO,O-Contact%,-0.12
ShO,Z-Contact%,-0.07
ShO,Contact%,-0.11
ShO,Zone%,0.08
ShO,F-Strike%,0.12
ShO,SwStr%,0.14
ShO,ERA-,-0.12
ShO,FIP-,-0.18
ShO,xFIP-,-0.21
ShO,K%,0.11
ShO,BB%,-0.17
ShO,SIERA,-0.19
ShO,RS/9,-0.03
ShO,E-F,0.04
IP,W,0.28
IP,L,-0.04
IP,ERA,-0.22
IP,G,0.23
IP,GS,0.23
IP,CG,0.29
IP,ShO,0.15
IP,IP,0.42
IP,TBF,0.41
IP,H,0.22
IP,R,-0.02
IP,ER,-0.04
IP,HR,0.01
IP,BB,-0.06
IP,IBB,-0.01
IP,HBP,-0.02
IP,WP,-0.03
IP,BK,-0.04
IP,SO,0.3
IP,GB,0.2
IP,FB,0.04
IP,LD,0.18
IP,IFFB,0.02
IP,Balls,0.16
IP,Strikes,0.4
IP,Pitches,0.34
IP,RS,0.22
IP,IFH,0.14
IP,BU,0.1
IP,BUH,0.06
IP,K/9,0.18
IP,BB/9,-0.19
IP,K/BB,0.31
IP,H/9,-0.11
IP,HR/9,-0.12
IP,AVG,-0.11
IP,WHIP,-0.2
IP,BABIP,0.02
IP,LOB%,0.15
IP,FIP,-0.24
IP,GB/FB,0.1
IP,LD%,0.01
IP,GB%,0.1
IP,FB%,-0.11
IP,IFFB%,0
IP,HR/FB,-0.03
IP,IFH%,0.03
IP,BUH%,-0.01
IP,RAR,0.32
IP,WAR,0.32
IP,tERA,-0.21
IP,xFIP,-0.27
IP,WPA,0.19
IP,RE24,0.23
IP,REW,0.23
IP,pLI,0.03
IP,inLI,0.04
IP,gmLI,0.01
IP,exLI,-0.05
IP,Pulls,-0.03
IP,WPA/LI,0.2
IP,Clutch,-0.01
IP,FA%,-0.11
IP,SL%,0
IP,CT%,0.22
IP,CB%,0.02
IP,CH%,0.07
IP,SF%,0.05
IP,PO%,0.08
IP,wFB,0.06
IP,wSL,0.14
IP,wCT,0.17
IP,wCB,0.07
IP,wCH,0.24
IP,wSF,0.12
IP,O-Swing%,0.16
IP,Z-Swing%,-0.02
IP,Swing%,0.14
IP,O-Contact%,-0.15
IP,Z-Contact%,-0.1
IP,Contact%,-0.18
IP,Zone%,0.02
IP,F-Strike%,0.16
IP,SwStr%,0.21
IP,ERA-,-0.24
IP,FIP-,-0.27
IP,xFIP-,-0.3
IP,K%,0.19
IP,BB%,-0.18
IP,SIERA,-0.26
IP,RS/9,0.01
IP,E-F,-0.02
TBF,W,0.22
TBF,L,0
TBF,ERA,-0.14
TBF,G,0.22
TBF,GS,0.22
TBF,CG,0.24
TBF,ShO,0.1
TBF,IP,0.37
TBF,TBF,0.39
TBF,H,0.27
TBF,R,0.04
TBF,ER,0.03
TBF,HR,0.02
TBF,BB,0
TBF,IBB,0.03
TBF,HBP,0
TBF,WP,-0.02
TBF,BK,-0.02
TBF,SO,0.19
TBF,GB,0.23
TBF,FB,0.04
TBF,LD,0.24
TBF,IFFB,-0.01
TBF,Balls,0.19
TBF,Strikes,0.33
TBF,Pitches,0.31
TBF,RS,0.19
TBF,IFH,0.15
TBF,BU,0.14
TBF,BUH,0.09
TBF,K/9,0.07
TBF,BB/9,-0.12
TBF,K/BB,0.2
TBF,H/9,-0.03
TBF,HR/9,-0.09
TBF,AVG,-0.03
TBF,WHIP,-0.09
TBF,BABIP,0.05
TBF,LOB%,0.11
TBF,FIP,-0.13
TBF,GB/FB,0.12
TBF,LD%,0.05
TBF,GB%,0.11
TBF,FB%,-0.14
TBF,IFFB%,-0.03
TBF,HR/FB,0
TBF,IFH%,0.03
TBF,BUH%,0
TBF,RAR,0.22
TBF,WAR,0.23
TBF,tERA,-0.09
TBF,xFIP,-0.15
TBF,WPA,0.12
TBF,RE24,0.16
TBF,REW,0.16
TBF,pLI,0.06
TBF,inLI,0.03
TBF,gmLI,0.02
TBF,exLI,-0.03
TBF,Pulls,0
TBF,WPA/LI,0.12
TBF,Clutch,0.02
TBF,FA%,-0.14
TBF,SL%,-0.02
TBF,CT%,0.17
TBF,CB%,0
TBF,CH%,0.06
TBF,SF%,0.02
TBF,PO%,0.03
TBF,wFB,0
TBF,wSL,0.08
TBF,wCT,0.11
TBF,wCB,0.07
TBF,wCH,0.19
TBF,wSF,0.09
TBF,O-Swing%,0.05
TBF,Z-Swing%,-0.04
TBF,Swing%,0.04
TBF,O-Contact%,-0.12
TBF,Z-Contact%,0
TBF,Contact%,-0.08
TBF,Zone%,0.03
TBF,F-Strike%,0.07
TBF,SwStr%,0.09
TBF,ERA-,-0.17
TBF,FIP-,-0.17
TBF,xFIP-,-0.19
TBF,K%,0.08
TBF,BB%,-0.12
TBF,SIERA,-0.13
TBF,RS/9,0.01
TBF,E-F,-0.05
H,W,0
H,L,0.11
H,ERA,0.15
H,G,0.06
H,GS,0.06
H,CG,0.15
H,ShO,0.02
H,IP,0.1
H,TBF,0.15
H,H,0.5
H,R,0.24
H,ER,0.23
H,HR,0.13
H,BB,-0.31
H,IBB,0.06
H,HBP,-0.07
H,WP,-0.22
H,BK,-0.05
H,SO,-0.32
H,GB,0.36
H,FB,0.02
H,LD,0.44
H,IFFB,-0.12
H,Balls,-0.12
H,Strikes,-0.02
H,Pitches,-0.07
H,RS,0.1
H,IFH,0.14
H,BU,0.12
H,BUH,0.12
H,K/9,-0.42
H,BB/9,-0.32
H,K/BB,0.05
H,H/9,0.39
H,HR/9,0.1
H,AVG,0.41
H,WHIP,0.16
H,BABIP,0.22
