Y1,Y2,R
HR/FB,Zone%,-0.43
HR/FB,F-Strike%,-0.25
HR/FB,SwStr%,0.56
IFH,AVG,0.19
IFH,OBP,-0.02
IFH,SLG,-0.12
IFH,OPS,-0.09
IFH,ISO,-0.24
IFH,BABIP,0.17
IFH,wOBA,-0.05
IFH,BB%,-0.23
IFH,K%,-0.24
IFH,GB/FB,0.43
IFH,LD%,-0.02
IFH,GB%,0.39
IFH,FB%,-0.37
IFH,IFFB%,0.05
IFH,HR/FB,-0.22
IFH,IFH,0.59
IFH,IFH%,0.43
IFH,BUH,0.3
IFH,BUH%,0.13
IFH,O-Swing%,0.04
IFH,Z-Swing%,-0.1
IFH,Swing%,0.02
IFH,O-Contact%,0.19
IFH,Z-Contact%,0.23
IFH,Contact%,0.23
IFH,Zone%,0.2
IFH,F-Strike%,0.13
IFH,SwStr%,-0.18
IFH%,AVG,0.05
IFH%,OBP,-0.08
IFH%,SLG,-0.1
IFH%,OPS,-0.1
IFH%,ISO,-0.15
IFH%,BABIP,0.13
IFH%,wOBA,-0.07
IFH%,BB%,-0.18
IFH%,K%,-0.02
IFH%,GB/FB,0.2
IFH%,LD%,-0.03
IFH%,GB%,0.19
IFH%,FB%,-0.16
IFH%,IFFB%,0.13
IFH%,HR/FB,-0.15
IFH%,IFH,0.41
IFH%,IFH%,0.44
IFH%,BUH,0.24
IFH%,BUH%,0.11
IFH%,O-Swing%,0.03
IFH%,Z-Swing%,-0.09
IFH%,Swing%,0.01
IFH%,O-Contact%,0
IFH%,Z-Contact%,0.05
IFH%,Contact%,0.04
IFH%,Zone%,0.18
IFH%,F-Strike%,0.17
IFH%,SwStr%,-0.02
BUH,AVG,0.02
BUH,OBP,-0.11
BUH,SLG,-0.29
BUH,OPS,-0.25
BUH,ISO,-0.36
BUH,BABIP,0.08
BUH,wOBA,-0.2
BUH,BB%,-0.18
BUH,K%,-0.19
BUH,GB/FB,0.36
BUH,LD%,0.03
BUH,GB%,0.31
BUH,FB%,-0.31
BUH,IFFB%,0.07
BUH,HR/FB,-0.35
BUH,IFH,0.31
BUH,IFH%,0.25
BUH,BUH,0.77
BUH,BUH%,0.25
BUH,O-Swing%,-0.07
BUH,Z-Swing%,-0.23
BUH,Swing%,-0.1
BUH,O-Contact%,0.24
BUH,Z-Contact%,0.24
BUH,Contact%,0.28
BUH,Zone%,0.27
BUH,F-Strike%,0.17
BUH,SwStr%,-0.26
BUH%,AVG,0.04
BUH%,OBP,0.01
BUH%,SLG,-0.08
BUH%,OPS,-0.06
BUH%,ISO,-0.12
BUH%,BABIP,0.09
BUH%,wOBA,-0.03
BUH%,BB%,-0.02
BUH%,K%,-0.05
BUH%,GB/FB,0.12
BUH%,LD%,0.03
BUH%,GB%,0.11
BUH%,FB%,-0.12
BUH%,IFFB%,0.02
BUH%,HR/FB,-0.13
BUH%,IFH,0.15
BUH%,IFH%,0.12
BUH%,BUH,0.26
BUH%,BUH%,0.24
BUH%,O-Swing%,-0.06
BUH%,Z-Swing%,-0.1
BUH%,Swing%,-0.07
BUH%,O-Contact%,0.07
BUH%,Z-Contact%,0.07
BUH%,Contact%,0.09
BUH%,Zone%,0.08
BUH%,F-Strike%,0.02
BUH%,SwStr%,-0.09
O-Swing%,AVG,0
O-Swing%,OBP,-0.31
O-Swing%,SLG,0
O-Swing%,OPS,-0.12
O-Swing%,ISO,-0.01
O-Swing%,BABIP,0.01
O-Swing%,wOBA,-0.16
O-Swing%,BB%,-0.45
O-Swing%,K%,0.07
O-Swing%,GB/FB,-0.03
O-Swing%,LD%,-0.22
O-Swing%,GB%,0.05
O-Swing%,FB%,0.05
O-Swing%,IFFB%,0.05
O-Swing%,HR/FB,0.01
O-Swing%,IFH,0.06
O-Swing%,IFH%,0.06
O-Swing%,BUH,-0.06
O-Swing%,BUH%,-0.04
O-Swing%,O-Swing%,0.75
O-Swing%,Z-Swing%,0.37
O-Swing%,Swing%,0.64
O-Swing%,O-Contact%,0.12
O-Swing%,Z-Contact%,-0.12
O-Swing%,Contact%,-0.18
O-Swing%,Zone%,-0.14
O-Swing%,F-Strike%,0.36
O-Swing%,SwStr%,0.35
Z-Swing%,AVG,0.05
Z-Swing%,OBP,-0.12
Z-Swing%,SLG,0.2
Z-Swing%,OPS,0.1
Z-Swing%,ISO,0.21
Z-Swing%,BABIP,-0.02
Z-Swing%,wOBA,0.03
Z-Swing%,BB%,-0.22
Z-Swing%,K%,0.09
Z-Swing%,GB/FB,-0.09
Z-Swing%,LD%,0
Z-Swing%,GB%,-0.06
Z-Swing%,FB%,0.06
Z-Swing%,IFFB%,0.03
Z-Swing%,HR/FB,0.25
Z-Swing%,IFH,-0.1
Z-Swing%,IFH%,-0.09
Z-Swing%,BUH,-0.21
Z-Swing%,BUH%,-0.1
Z-Swing%,O-Swing%,0.39
Z-Swing%,Z-Swing%,0.83
Z-Swing%,Swing%,0.72
Z-Swing%,O-Contact%,-0.31
Z-Swing%,Z-Contact%,-0.31
Z-Swing%,Contact%,-0.37
Z-Swing%,Zone%,-0.08
Z-Swing%,F-Strike%,0.28
Z-Swing%,SwStr%,0.54
Swing%,AVG,0.03
Swing%,OBP,-0.34
Swing%,SLG,0.02
Swing%,OPS,-0.12
Swing%,ISO,0.01
Swing%,BABIP,-0.02
Swing%,wOBA,-0.18
Swing%,BB%,-0.52
Swing%,K%,0
Swing%,GB/FB,0
Swing%,LD%,-0.06
Swing%,GB%,0.05
Swing%,FB%,-0.02
Swing%,IFFB%,0.08
Swing%,HR/FB,0.04
Swing%,IFH,0.01
Swing%,IFH%,0.01
Swing%,BUH,-0.09
Swing%,BUH%,-0.05
Swing%,O-Swing%,0.67
Swing%,Z-Swing%,0.71
Swing%,Swing%,0.84
Swing%,O-Contact%,-0.08
Swing%,Z-Contact%,-0.15
Swing%,Contact%,-0.23
Swing%,Zone%,0.03
Swing%,F-Strike%,0.48
Swing%,SwStr%,0.46
O-Contact%,AVG,0.2
O-Contact%,OBP,-0.05
O-Contact%,SLG,-0.28
O-Contact%,OPS,-0.22
O-Contact%,ISO,-0.43
O-Contact%,BABIP,0.01
O-Contact%,wOBA,-0.17
O-Contact%,BB%,-0.24
O-Contact%,K%,-0.62
O-Contact%,GB/FB,0.22
O-Contact%,LD%,0.05
O-Contact%,GB%,0.2
O-Contact%,FB%,-0.22
O-Contact%,IFFB%,-0.02
O-Contact%,HR/FB,-0.51
O-Contact%,IFH,0.19
O-Contact%,IFH%,0.03
O-Contact%,BUH,0.23
O-Contact%,BUH%,0.06
O-Contact%,O-Swing%,0.12
O-Contact%,Z-Swing%,-0.31
O-Contact%,Swing%,-0.07
O-Contact%,O-Contact%,0.81
O-Contact%,Z-Contact%,0.65
O-Contact%,Contact%,0.73
O-Contact%,Zone%,0.15
O-Contact%,F-Strike%,0.06
O-Contact%,SwStr%,-0.67
Z-Contact%,AVG,0.24
Z-Contact%,OBP,-0.01
Z-Contact%,SLG,-0.29
Z-Contact%,OPS,-0.21
Z-Contact%,ISO,-0.46
Z-Contact%,BABIP,0
Z-Contact%,wOBA,-0.17
Z-Contact%,BB%,-0.23
Z-Contact%,K%,-0.73
Z-Contact%,GB/FB,0.27
Z-Contact%,LD%,0.08
Z-Contact%,GB%,0.25
Z-Contact%,FB%,-0.28
Z-Contact%,IFFB%,0.02
Z-Contact%,HR/FB,-0.56
Z-Contact%,IFH,0.23
Z-Contact%,IFH%,0.05
Z-Contact%,BUH,0.21
Z-Contact%,BUH%,0.04
Z-Contact%,O-Swing%,-0.04
Z-Contact%,Z-Swing%,-0.35
Z-Contact%,Swing%,-0.16
Z-Contact%,O-Contact%,0.72
Z-Contact%,Z-Contact%,0.8
Z-Contact%,Contact%,0.83
Z-Contact%,Zone%,0.26
Z-Contact%,F-Strike%,-0.01
Z-Contact%,SwStr%,-0.77
Contact%,AVG,0.24
Contact%,OBP,0.01
Contact%,SLG,-0.32
Contact%,OPS,-0.23
Contact%,ISO,-0.51
Contact%,BABIP,-0.01
Contact%,wOBA,-0.18
Contact%,BB%,-0.2
Contact%,K%,-0.77
Contact%,GB/FB,0.29
Contact%,LD%,0.15
Contact%,GB%,0.25
Contact%,FB%,-0.31
Contact%,IFFB%,0
Contact%,HR/FB,-0.6
Contact%,IFH,0.22
Contact%,IFH%,0.03
Contact%,BUH,0.25
Contact%,BUH%,0.06
Contact%,O-Swing%,-0.13
Contact%,Z-Swing%,-0.39
Contact%,Swing%,-0.22
Contact%,O-Contact%,0.77
Contact%,Z-Contact%,0.83
Contact%,Contact%,0.9
Contact%,Zone%,0.31
Contact%,F-Strike%,-0.02
Contact%,SwStr%,-0.85
Zone%,AVG,-0.02
Zone%,OBP,-0.29
Zone%,SLG,-0.33
Zone%,OPS,-0.34
Zone%,ISO,-0.39
Zone%,BABIP,-0.04
Zone%,wOBA,-0.33
Zone%,BB%,-0.41
Zone%,K%,-0.29
Zone%,GB/FB,0.23
Zone%,LD%,0.19
Zone%,GB%,0.18
Zone%,FB%,-0.26
Zone%,IFFB%,0.11
Zone%,HR/FB,-0.4
Zone%,IFH,0.16
Zone%,IFH%,0.12
Zone%,BUH,0.25
Zone%,BUH%,0.1
Zone%,O-Swing%,-0.01
Zone%,Z-Swing%,-0.09
Zone%,Swing%,0.09
Zone%,O-Contact%,0.15
Zone%,Z-Contact%,0.33
Zone%,Contact%,0.32
Zone%,Zone%,0.52
Zone%,F-Strike%,0.32
Zone%,SwStr%,-0.24
F-Strike%,AVG,-0.06
F-Strike%,OBP,-0.4
F-Strike%,SLG,-0.23
F-Strike%,OPS,-0.31
F-Strike%,ISO,-0.25
F-Strike%,BABIP,0.01
F-Strike%,wOBA,-0.32
F-Strike%,BB%,-0.53
F-Strike%,K%,-0.03
F-Strike%,GB/FB,0.13
F-Strike%,LD%,-0.02
F-Strike%,GB%,0.15
F-Strike%,FB%,-0.13
F-Strike%,IFFB%,0.07
F-Strike%,HR/FB,-0.23
F-Strike%,IFH,0.1
F-Strike%,IFH%,0.12
F-Strike%,BUH,0.15
F-Strike%,BUH%,0.05
F-Strike%,O-Swing%,0.43
F-Strike%,Z-Swing%,0.27
F-Strike%,Swing%,0.5
F-Strike%,O-Contact%,0.06
F-Strike%,Z-Contact%,0.02
F-Strike%,Contact%,-0.02
F-Strike%,Zone%,0.27
F-Strike%,F-Strike%,0.56
F-Strike%,SwStr%,0.18
SwStr%,AVG,-0.2
SwStr%,OBP,-0.12
SwStr%,SLG,0.28
SwStr%,OPS,0.15
SwStr%,ISO,0.43
SwStr%,BABIP,0.01
SwStr%,wOBA,0.09
SwStr%,BB%,0
SwStr%,K%,0.67
SwStr%,GB/FB,-0.23
SwStr%,LD%,-0.15
SwStr%,GB%,-0.19
SwStr%,FB%,0.24
SwStr%,IFFB%,0.03
SwStr%,HR/FB,0.52
SwStr%,IFH,-0.17
SwStr%,IFH%,-0.01
SwStr%,BUH,-0.23
SwStr%,BUH%,-0.07
SwStr%,O-Swing%,0.31
SwStr%,Z-Swing%,0.56
SwStr%,Swing%,0.45
SwStr%,O-Contact%,-0.7
SwStr%,Z-Contact%,-0.77
SwStr%,Contact%,-0.85
SwStr%,Zone%,-0.24
SwStr%,F-Strike%,0.17
SwStr%,SwStr%,0.89
