name,fg_id,fans_g,fans_pa,fans_ab,fans_b1,fans_b2,fans_b3,fans_hr,fans_r,fans_rbi,fans_sb,fans_cs,zips_g,zips_pa,zips_ab,zips_b1,zips_b2,zips_b3,zips_hr,zips_r,zips_rbi,zips_sb,zips_cs,stmr_g,stmr_pa,stmr_ab,stmr_b1,stmr_b2,stmr_b3,stmr_hr,stmr_r,stmr_rbi,stmr_sb,stmr_cs,cair_g,cair_pa,cair_ab,cair_b1,cair_b2,cair_b3,cair_hr,cair_r,cair_rbi,cair_sb,cair_cs,f411_g,f411_pa,f411_ab,f411_b1,f411_b2,f411_b3,f411_hr,f411_r,f411_rbi,f411_sb,f411_cs,real_g,real_pa,real_ab,real_b1,real_b2,real_b3,real_hr,real_r,real_rbi,real_sb,real_cs
Andy Tracy,2024,,,,,,,,,,,,,,,,,,,,,,,,100,0.89,0.13,0.04,0,0.03,0.1,0.11,0.01,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Paul Phillips,2032,,,,,,,,,,,,,,,,,,,,,,,,100,0.91,0.16,0.04,0,0.01,0.09,0.08,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Carlos Maldonado,2034,,,,,,,,,,,,,,,,,,,,,,,,100,0.89,0.12,0.04,0,0.02,0.09,0.08,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
John Buck,2041,0.2525,400,0.8775,0.1325,0.0375,0.0025,0.03,0.105,0.1125,0,0,,,,,,,,,,,,,259,0.884169884,0.11969112,0.042471042,0.003861004,0.030888031,0.096525097,0.108108108,0.003861004,0,0.262386063,449.337891,0.890511442,0.126447139,0.035970674,0.002533787,0.031067572,0.091644819,0.11858205,0.002555962,0.00169689,0.300497324,361.5118161,0.888568273,0.130339305,0.038407531,0.002071095,0.030693281,0.090807402,0.101521282,0.000732615,0.000633905,0.255220418,431,0.909512761,0.141531323,0.025522042,0,0.034802784,0.090487239,0.143851508,0.004640371,0.002320186
Jorge Padilla,2054,,,,,,,,,,,,,,,,,,,,,,,,100,0.9,0.19,0.04,0,0.01,0.09,0.09,0.02,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eric Farris,2066,,,,,,,,,,,,,,,,,,,,,,,,100,0.93,0.19,0.04,0,0.01,0.1,0.09,0.05,0.01,,,,,,,,,,,,0.290818249,229.279186,0.924768728,0.170258073,0.034514843,0.003476357,0.011955759,0.100189896,0.060973491,0.043364268,0.014512828,,,,,,,,,,,
Gil Velazquez,2070,,,,,,,,,,,,,,,,,,,,,,,,100,0.91,0.19,0.04,0,0.01,0.09,0.09,0.01,0.01,0.265265512,446.8568621,0.90899846,0.178321099,0.040394413,0.003221414,0.01229457,0.10901415,0.084647894,0.015320219,0.011103265,0.312107809,209.11959,0.913484276,0.178082658,0.036240726,0.003715926,0.011267588,0.096126624,0.061342195,0.012874346,0.008854516,1,1,1,0,0,0,0,0,0,0,0
Jeff Baker,2073,,,,,,,,,,,,,,,,,,,,,,,,100,0.91,0.15,0.06,0.01,0.02,0.12,0.11,0.02,0.01,0.339860206,216.2891189,0.924049705,0.161109682,0.060195123,0.007290701,0.021308711,0.107376821,0.106354034,0.010291618,0.002842958,0.364019204,157.2829993,0.924735908,0.155818703,0.059056015,0.006336984,0.019716723,0.102303204,0.099471624,0.010272856,0.001830096,0.422857143,175,0.88,0.137142857,0.045714286,0,0.062857143,0.12,0.12,0.005714286,0
Alex Rios,2090,0.231496063,635,0.943307087,0.177952756,0.047244094,0.006299213,0.031496063,0.108661417,0.130708661,0.034645669,0.009448819,0.244663383,609,0.939244663,0.167487685,0.05090312,0.006568144,0.02955665,0.123152709,0.114942529,0.032840722,0.011494253,,591,0.92893401,0.164128596,0.050761421,0.00676819,0.030456853,0.118443316,0.121827411,0.021996616,0.010152284,0.243448722,618.2,0.931814927,0.164974416,0.04849928,0.006196165,0.03086753,0.137568146,0.114257757,0.033141898,0.011828659,0.2479822,608.24258,0.935055173,0.168667974,0.050360436,0.00740393,0.031875819,0.130465155,0.11922984,0.032501559,0.01147431,0.235649547,662,0.930513595,0.175226586,0.049848943,0.006042296,0.027190332,0.125377644,0.122356495,0.063444109,0.010574018
Freddie Bynum,2099,,,,,,,,,,,,,,,,,,,,,,,,100,0.92,0.16,0.05,0,0.01,0.09,0.09,0.01,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Josh Wilson,2102,,,,,,,,,,,,,,,,,,,,,,,,100,0.92,0.15,0.05,0,0.01,0.09,0.08,0.01,0.01,0.290859255,322.1980529,0.919788718,0.149740477,0.058656938,0.00693487,0.012843802,0.094260185,0.090895971,0.0134801,0.007090855,0.354083183,264.6674293,0.92635291,0.149476355,0.05091215,0.006833483,0.012410148,0.093863503,0.077594882,0.0126038,0.004991793,0.461538462,65,0.923076923,0.138461538,0.015384615,0.015384615,0.015384615,0.138461538,0.061538462,0,0
Josh Willingham,2103,0.233160622,579,0.848013817,0.1208981,0.04835924,0.001727116,0.046632124,0.136442142,0.165803109,0.006908463,0.001727116,0.243614931,509,0.850687623,0.117878193,0.043222004,0.001964637,0.047151277,0.127701375,0.151277014,0.007858546,0.001964637,,504,0.853174603,0.119047619,0.047619048,0.001984127,0.045634921,0.128968254,0.142857143,0.003968254,0.001984127,0.242361067,471.5760177,0.852794327,0.119339492,0.046760371,0.002024764,0.047678327,0.127825177,0.15863712,0.00805938,0.002937803,0.232215137,557.3734653,0.853136367,0.119152482,0.04619904,0.001824994,0.049335674,0.131523894,0.146786151,0.006728094,0.003007239,0.23566879,471,0.825902335,0.099787686,0.042462845,0,0.029723992,0.089171975,0.101910828,0.002123142,0
Ryan Doumit,2113,0.242258652,549,0.9143898,0.169398907,0.045537341,0.001821494,0.029143898,0.109289617,0.118397086,0,0,0.268867925,424,0.912735849,0.150943396,0.051886792,0.002358491,0.028301887,0.094339623,0.120283019,0.002358491,0,,452,0.907079646,0.154867257,0.053097345,0.002212389,0.028761062,0.10840708,0.117256637,0.002212389,0.002212389,0.265175349,337.4570617,0.909161229,0.155973392,0.053089804,0.003434189,0.029815728,0.098541882,0.124865178,0.003692347,0.001443489,0.244792674,469.0844283,0.912207136,0.156384108,0.055786103,0.002761619,0.031265486,0.103063249,0.118256465,0.001331532,0.000731239,0.250929368,538,0.901486989,0.143122677,0.05204461,0.001858736,0.026022305,0.091078067,0.102230483,0.001858736,0
