"Name","Team","Age","G","AB","PA","H","1B","2B","3B","HR","R","RBI","SF","SH","GDP","SB","CS","GB","FB","LD","IFFB","IFH","BU","BUH","Balls","Strikes","Pitches","Pull%","Cent%","Oppo%","Soft%","Med%","Hard%","playerid"
"Coco Crisp","Indians","25","123","233","233","62","53","7","2","0","0","19","0","0","7","0","0","233","0","0","0","10","0","0","240","517","757","63.1 %","22.8 %","14.2 %","14.6 %","60.9 %","24.5 %","1572"
"Kevin Millar","Red Sox","33","85","130","130","35","30","5","0","0","0","9","0","0","12","0","0","130","0","0","0","12","0","0","128","298","426","70.0 %","21.5 %","8.5 %","20.0 %","56.9 %","23.1 %","529"
"Marcus Thames","Tigers","28","16","19","19","5","4","1","0","0","0","1","0","0","1","0","0","19","0","0","0","1","0","0","17","36","53","100.0 %","0.0 %","0.0 %","0.0 %","68.4 %","31.6 %","1523"
"Julio Lugo","Devil Rays","29","135","256","256","70","63","7","0","0","0","15","0","0","5","0","0","256","0","0","0","20","0","0","273","585","858","50.0 %","33.6 %","16.4 %","12.5 %","71.1 %","16.4 %","565"
"Jose Hernandez","Indians","35","56","88","88","25","25","0","0","0","0","11","0","0","11","0","0","88","0","0","0","8","0","0","75","198","273","60.2 %","33.0 %","6.8 %","9.1 %","64.8 %","26.1 %","688"
"John Buck","Royals","24","86","130","130","36","34","2","0","0","0","8","0","0","9","0","0","130","0","0","0","6","0","0","113","270","383","48.5 %","34.6 %","16.9 %","11.5 %","75.4 %","13.1 %","2041"
"Lew Ford","Twins","28","121","236","236","64","58","6","0","0","0","10","0","0","8","0","0","236","0","0","0","27","0","0","289","597","886","64.8 %","23.7 %","11.4 %","18.2 %","65.7 %","16.1 %","1724"
"Scott Podsednik","White Sox","29","113","224","224","63","63","0","0","0","0","10","0","0","7","0","0","224","0","0","0","24","0","0","285","540","825","42.0 %","30.4 %","27.7 %","21.9 %","63.0 %","15.2 %","1095"
"Jose Cruz","- - -","31","80","114","114","30","26","3","1","0","0","12","0","0","10","0","0","114","0","0","0","4","0","0","127","228","355","79.8 %","17.5 %","2.6 %","10.5 %","64.0 %","25.4 %","1296"
"Derek Jeter","Yankees","31","142","321","321","88","83","5","0","0","0","22","0","0","15","0","0","321","0","0","0","24","0","0","385","706","1091","51.1 %","25.2 %","23.7 %","19.3 %","57.0 %","23.7 %","826"
"Cliff Floyd","Mets","32","120","185","185","51","49","2","0","0","0","21","0","0","5","0","0","185","0","0","0","8","0","0","190","411","601","62.7 %","24.9 %","12.4 %","14.1 %","60.5 %","25.4 %","518"
"Ricky Ledee","Dodgers","31","50","68","68","19","19","0","0","0","0","8","0","0","4","0","0","68","0","0","0","1","0","0","67","136","203","54.4 %","35.3 %","10.3 %","13.2 %","69.1 %","17.7 %","1407"
