"Name","Team","W","L","ERA","GS","G","SV","IP","H","ER","HR","SO","BB","WHIP","K/9","BB/9","FIP","WAR","RA9-WAR","playerid"
"Ulises Gutierrez"," ","0","0","4.98","0","1","0","1.0","1","1","0","1","1","1.59","6.48","5.26","4.97","0.0","-0.1","sa507306"
"Zach Loraine","Cardinals","0","0","4.88","0","1","0","1.0","1","1","0","1","1","1.60","6.35","5.41","4.98","0.0","-0.1","sa738707"
"Martin Viramontes","Brewers","0","0","5.06","0","1","0","1.0","1","1","0","1","1","1.64","7.76","6.14","4.98","0.0","-0.1","sa390651"
"Lucas Sims","Braves","0","0","5.10","0","0","0","1.0","1","1","0","1","0","1.55","6.01","4.37","4.98","0.0","0.0","sa657914"
"Joe Kurrasch","Giants","0","0","5.01","0","0","0","1.0","1","1","0","1","1","1.57","5.03","4.53","4.98","0.0","0.0","sa578992"
"Buddy Borden","Pirates","0","0","5.12","0","0","0","1.0","1","1","0","1","1","1.58","5.60","4.67","4.98","0.0","0.0","sa737851"
"Taylor Mangum","Brewers","0","0","5.00","0","1","0","1.0","1","1","0","1","1","1.58","6.67","5.03","4.98","0.0","-0.1","sa659568"
"Ryan O'Sullivan","Phillies","0","0","5.05","0","0","0","1.0","1","1","0","1","0","1.51","5.76","3.92","4.98","0.0","0.0","sa455098"
"Tyler Kane","Marlins","0","0","5.02","0","1","0","1.0","1","1","0","1","1","1.62","5.95","5.33","4.98","0.0","-0.1","sa738905"
"John Omahen","Diamondbacks","0","0","4.90","0","0","0","1.0","1","1","0","1","0","1.47","4.99","3.29","4.98","0.0","0.0","sa598616"
"Tony Rizzotti","Padres","0","0","5.12","0","1","0","1.0","1","1","0","1","1","1.62","6.45","5.35","4.98","0.0","-0.1","sa549825"
"Francisco Villegas"," ","0","0","4.93","0","1","0","1.0","1","1","0","1","1","1.55","5.97","4.57","4.98","0.0","-0.1","sa202855"
"Cody Buckel","Rangers","0","0","5.12","0","1","0","1.0","1","1","0","1","1","1.62","7.84","5.90","4.98","0.0","0.0","sa548270"
"Gera Sanchez","Astros","0","0","5.07","0","1","0","1.0","1","1","0","1","1","1.58","6.80","5.04","4.98","0.0","-0.1","sa503435"
"Brandon Sinnery","Diamondbacks","0","0","4.91","0","0","0","1.0","1","1","0","1","0","1.46","4.72","3.04","4.98","0.0","0.0","sa732032"
"Craig Bennigson","Rockies","0","0","5.05","0","1","0","1.0","1","1","0","1","1","1.60","6.38","4.82","4.99","0.0","0.0","sa454747"
"William Gabay","Rays","0","0","4.92","0","1","0","1.0","1","1","0","1","1","1.57","6.24","5.06","4.99","0.0","-0.1","sa658273"
"Rogelio Martinez"," ","0","0","5.00","0","0","0","1.0","1","1","0","1","0","1.53","5.72","4.18","4.99","0.0","0.0","sa651344"
"Daniel Hurtado","Angels","0","0","5.04","0","0","0","1.0","1","1","0","1","0","1.54","5.68","4.28","4.99","0.0","0.0","sa505279"
"Christian Bergman","Rockies","4","4","5.04","11","11","0","64.0","75","36","11","38","15","1.41","5.35","2.11","4.99","0.3","0.3","10925"
"Aldo Leyva"," ","0","0","4.95","0","1","0","1.0","1","1","0","1","1","1.59","6.21","5.10","4.99","0.0","-0.1","sa544848"
"Silfredo Garcia","Cardinals","0","0","4.90","0","0","0","1.0","1","1","0","1","0","1.50","4.94","3.73","4.99","0.0","0.0","sa546464"
"Stephen Perakslis","Cubs","0","0","5.03","0","1","0","1.0","1","1","0","1","1","1.61","6.43","5.27","4.99","0.0","-0.1","sa621679"
"Thomas Melgarejo"," ","0","0","5.02","0","0","0","1.0","1","1","0","1","0","1.53","5.44","4.13","4.99","0.0","0.0","sa328570"
"Cole Swanson","Angels","0","0","5.04","0","1","0","1.0","1","1","0","1","1","1.65","7.18","6.29","4.99","0.0","-0.1","sa708210"
"Jose Leclerc","Rangers","0","0","5.10","0","1","0","1.0","1","1","0","1","1","1.63","7.82","6.08","4.99","0.0","0.0","sa597170"
"Warwick Saupold","Tigers","0","0","5.06","0","0","0","1.0","1","1","0","1","0","1.50","5.67","3.78","4.99","0.0","0.0","sa654357"
"Zachary Von Rosenberg","Pirates","0","0","5.00","0","1","0","1.0","1","1","0","1","0","1.57","4.99","4.29","5.00","0.0","-0.1","sa501498"
"Andres Avila","Athletics","0","0","4.86","0","1","0","1.0","1","1","0","1","0","1.55","5.53","4.46","5.00","0.0","-0.1","sa541874"
"Patrick Johnson","Rockies","0","0","5.10","0","1","0","1.0","1","1","0","1","1","1.63","7.34","5.55","5.00","0.0","0.0","sa526880"
"Carlos Santamaria"," ","0","0","4.99","0","1","0","1.0","1","1","0","1","1","1.63","6.84","5.79","5.00","0.0","-0.1","sa541857"
"Ivan Cordova"," ","0","0","4.96","0","1","0","1.0","1","1","0","1","1","1.57","6.17","4.79","5.00","0.0","-0.1","sa508072"
"Max Garner","Marlins","0","0","5.08","0","0","0","1.0","1","1","0","1","0","1.57","5.05","4.25","5.00","0.0","0.0","sa578906"
"Luis Perdomo","Cardinals","0","0","4.91","0","0","0","1.0","1","1","0","1","0","1.53","5.16","4.05","5.00","0.0","0.0","sa597248"
"Jim Moran","Reds","0","0","4.83","0","1","0","1.0","1","1","0","1","1","1.53","6.75","4.91","5.00","0.0","-0.1","sa599716"
"Joel Vargas"," ","0","0","5.00","0","0","0","1.0","1","1","0","0","0","1.43","4.05","2.36","5.00","0.0","0.0","sa185597"
"Juan Grijalva"," ","0","0","5.01","0","1","0","1.0","1","1","0","1","1","1.58","6.49","5.04","5.00","0.0","-0.1","sa728943"
"Zack Weiss","Reds","0","0","4.87","0","1","0","1.0","1","1","0","1","1","1.58","7.31","5.64","5.00","0.0","-0.1","sa548466"
"Mat Batts","Twins","0","0","5.23","0","0","0","1.0","1","1","0","1","0","1.58","5.62","4.39","5.00","0.0","0.0","sa829200"
"Nicolas Heredia"," ","0","0","5.00","0","1","0","1.0","1","1","0","1","1","1.60","6.75","5.41","5.00","0.0","-0.1","sa733608"
"Jarrett Casey","White Sox","0","0","5.03","0","1","0","1.0","1","1","0","1","1","1.55","6.28","4.52","5.00","0.0","0.0","sa549937"
"Bobby Wahl","Athletics","0","0","4.97","0","1","0","1.0","1","1","0","1","1","1.57","6.19","5.00","5.00","0.0","-0.1","sa550093"
"Jhondaniel Medina","Pirates","0","1","5.11","0","10","0","10.0","10","6","1","7","7","1.66","6.67","6.03","5.00","-0.2","-0.2","sa550551"
"Will Morris","Phillies","0","0","5.06","0","1","0","1.0","1","1","0","1","1","1.59","6.73","5.18","5.00","0.0","-0.1","sa738332"
"Tyler Green","Diamondbacks","0","0","4.93","0","1","0","1.0","1","1","0","1","1","1.59","6.52","5.28","5.01","0.0","-0.1","sa548435"
"Mychal Givens","Orioles","0","0","4.83","0","1","0","1.0","1","1","0","1","1","1.54","6.98","5.09","5.01","0.0","-0.1","sa500805"
"Ryan Ullmann","Nationals","0","0","4.95","0","1","0","1.0","1","1","0","1","1","1.58","5.55","4.56","5.01","0.0","-0.1","sa738461"
"Francisco Madero"," ","0","0","4.94","0","1","0","1.0","1","1","0","1","0","1.54","5.42","4.11","5.01","0.0","-0.1","sa211075"
"Ernesto Vizcarra"," ","0","0","4.92","0","1","0","1.0","1","1","0","1","0","1.51","4.82","3.55","5.01","0.0","-0.1","sa509707"
"Colton Cain","Astros","0","0","5.14","0","0","0","1.0","1","1","0","1","0","1.52","5.89","4.09","5.01","0.0","0.0","sa501545"
"Max Russell","Angels","0","0","5.08","0","0","0","1.0","1","1","0","1","0","1.52","4.77","3.77","5.01","0.0","0.0","sa526948"
"Sergio Valenzuela"," ","0","0","5.01","0","0","0","1.0","1","1","0","1","0","1.47","4.68","3.04","5.01","0.0","0.0","sa254802"
"Deck Mcguire","Blue Jays","0","0","5.06","0","0","0","1.0","1","1","0","1","0","1.49","5.53","3.40","5.01","0.0","0.0","sa548174"
"Justin Amlung","Cubs","0","0","5.06","0","0","0","1.0","1","1","0","1","0","1.54","5.47","4.09","5.01","0.0","0.0","sa602580"
"Nate Garcia","Rays","0","0","4.94","0","1","0","1.0","1","1","0","1","1","1.58","6.32","5.16","5.01","0.0","-0.1","sa545279"
"Leondy Perez","Royals","0","0","4.82","0","0","0","1.0","1","1","0","1","0","1.49","5.02","3.66","5.01","0.0","0.0","sa456139"
"Kyle Lotzkar","Rangers","0","0","5.11","0","0","0","1.0","1","1","0","1","1","1.57","7.04","4.99","5.01","0.0","0.0","sa389930"
"Calvin Drummond","Tigers","0","0","5.07","0","1","0","1.0","1","1","0","1","1","1.62","7.12","5.73","5.01","0.0","-0.1","sa580426"
"Nick Struck","Dodgers","0","0","4.89","0","0","0","1.0","1","1","0","1","0","1.49","5.08","3.66","5.02","0.0","0.0","sa503356"
"Robert Whitenack","Indians","0","0","5.14","0","0","0","1.0","1","1","0","1","0","1.51","5.57","3.75","5.02","0.0","0.0","sa501603"
"Jeremy Bleich","Yankees","0","0","4.87","0","0","0","1.0","1","1","0","1","0","1.49","5.97","4.15","5.02","0.0","0.0","sa454413"
"Wes Mugarian","Reds","0","0","4.87","0","1","0","1.0","1","1","0","1","1","1.57","7.00","5.40","5.02","0.0","-0.1","sa548352"
"Luis Lugo","Indians","0","0","5.16","0","0","0","1.0","1","1","0","1","1","1.57","5.89","4.60","5.02","0.0","0.0","sa597249"
"Jose Hernandez"," ","0","0","5.02","0","1","0","1.0","1","1","0","1","1","1.63","6.79","5.82","5.02","0.0","-0.1","sa651300"
"Nicholas Mcbride","Rangers","0","0","5.06","0","0","0","1.0","1","1","0","1","0","1.50","5.48","3.53","5.02","0.0","0.0","sa501460"
"Chad Pierce","Brewers","0","0","5.07","0","1","0","1.0","1","1","0","1","1","1.57","6.46","4.76","5.02","0.0","-0.1","sa599563"
"Duke Von Schamann","Indians","0","0","5.13","0","0","0","1.0","1","1","0","1","0","1.46","4.61","2.69","5.02","0.0","0.0","sa658267"
"Matt Marksberry","Braves","0","0","5.15","0","0","0","1.0","1","1","0","1","1","1.61","6.12","5.15","5.02","0.0","0.0","sa738153"
"Luis Chirinos","Dodgers","0","0","4.92","0","0","0","1.0","1","1","0","1","0","1.52","5.64","4.27","5.02","0.0","0.0","sa503965"
"Roman Rivas"," ","0","0","4.98","0","1","0","1.0","1","1","0","1","0","1.53","5.47","4.11","5.03","0.0","-0.1","sa595860"
"Chad Green","Tigers","0","0","5.08","0","0","0","1.0","1","1","0","1","0","1.49","5.24","3.52","5.03","0.0","0.0","sa550041"
"Josh Richardson","Padres","0","0","5.15","0","1","0","1.0","1","1","0","1","1","1.63","6.28","5.33","5.03","0.0","-0.1","sa738421"
"Alejandro Armenta"," ","0","0","5.16","0","0","0","1.0","1","1","0","1","0","1.52","4.74","3.59","5.03","0.0","0.0","sa185722"
"Mitch Horacek","Orioles","0","0","4.86","0","0","0","1.0","1","1","0","1","0","1.48","5.49","3.79","5.03","0.0","0.0","sa550295"
"Hayden Simpson","Cubs","0","0","5.10","0","1","0","1.0","1","1","0","1","1","1.60","6.36","5.18","5.03","0.0","-0.1","sa548181"
"Raydel Sanchez","Dodgers","0","0","4.91","0","0","0","1.0","1","1","0","1","0","1.48","4.93","3.48","5.03","0.0","0.0","sa599564"
"Chris Young","Royals","4","5","4.59","8","43","0","81.0","82","41","13","54","27","1.34","6.00","2.96","5.03","-0.3","-0.1","3196"
"Alex Burgos","Tigers","0","0","5.05","0","1","0","1.0","1","1","0","1","1","1.58","6.21","4.97","5.03","0.0","-0.1","sa548431"
"James Dykstra","White Sox","0","0","5.13","0","0","0","1.0","1","1","0","1","0","1.46","5.21","2.94","5.03","0.0","0.0","sa503397"
"Alan Gaxiola"," ","0","0","5.02","0","1","0","1.0","1","1","0","1","1","1.61","6.51","5.34","5.03","0.0","-0.1","sa550241"
"Scott Allen","Yankees","0","0","4.87","0","0","0","1.0","1","1","0","1","0","1.43","5.55","3.24","5.03","0.0","0.0","sa501628"
"Oscar Felix"," ","0","0","5.05","0","0","0","1.0","1","1","0","1","1","1.57","6.13","4.90","5.03","0.0","0.0","sa542046"
"Jeremy Dobbs","Mariners","0","0","4.97","0","1","0","1.0","1","1","0","1","1","1.59","6.19","5.24","5.04","0.0","-0.1","sa455556"
"Ryan Kemp","Reds","0","0","4.84","0","1","0","1.0","1","1","0","1","1","1.55","6.52","4.93","5.04","0.0","-0.1","sa599169"
"Cameron Hobson","Mariners","0","0","5.02","0","0","0","1.0","1","1","0","1","0","1.47","4.54","3.25","5.04","0.0","0.0","sa550075"
"Bryan Verbitsky","Padres","0","0","5.27","0","1","0","1.0","1","1","0","1","1","1.67","7.15","6.15","5.04","0.0","-0.1","sa707775"
"Chris Cotton","Astros","0","0","5.11","0","1","0","1.0","1","1","0","1","0","1.56","5.82","4.48","5.04","0.0","-0.1","sa737947"
"Max Perlman","Athletics","0","0","4.93","0","1","0","1.0","1","1","0","1","1","1.59","5.87","5.15","5.04","0.0","-0.1","sa545100"
"Matt Tomshaw","Twins","0","0","5.30","0","0","0","1.0","1","1","0","0","0","1.53","4.12","3.11","5.04","0.0","0.0","sa598974"
"Scott Peoples","Indians","0","0","5.16","0","0","0","1.0","1","1","0","1","0","1.54","5.76","4.11","5.04","0.0","0.0","sa658314"
"Greg Harris","Dodgers","0","0","4.96","0","0","0","1.0","1","1","0","1","0","1.53","5.83","4.44","5.04","0.0","0.0","sa738173"
"Miller Diaz","Mets","0","0","5.19","0","0","0","1.0","1","1","0","1","1","1.59","6.66","5.21","5.04","0.0","0.0","sa504858"
"Chris Mazza","Twins","0","0","5.22","0","1","0","1.0","1","1","0","1","1","1.64","6.41","5.38","5.04","0.0","-0.1","sa599371"
"Adrian Garza"," ","0","0","4.97","0","1","0","1.0","1","1","0","1","0","1.54","5.12","4.00","5.04","0.0","-0.1","sa509404"
"Matthew Koch","Mets","0","0","5.10","0","0","0","1.0","1","1","0","1","0","1.48","4.62","3.08","5.04","0.0","0.0","sa503235"
"David Hurlbut","Twins","0","0","5.29","0","0","0","1.0","1","1","0","1","0","1.55","4.51","3.50","5.04","0.0","0.0","sa503067"
"Justice French","Reds","0","0","4.89","0","0","0","1.0","1","1","0","1","0","1.50","6.01","4.20","5.04","0.0","0.0","sa579613"
"Chad Rodgers","Twins","0","0","5.20","0","1","0","1.0","1","1","0","1","1","1.64","6.12","5.29","5.04","0.0","-0.1","sa326689"
"Chadwick Bell","Rangers","0","0","5.13","0","0","0","1.0","1","1","0","1","0","1.51","5.08","3.56","5.04","0.0","0.0","sa392168"
"Rob Coe","Diamondbacks","0","0","4.99","0","0","0","1.0","1","1","0","1","0","1.51","5.48","3.97","5.05","0.0","0.0","sa579809"
"Bryan Rodriguez","Padres","0","0","5.21","0","0","0","1.0","1","1","0","1","0","1.55","5.23","4.00","5.05","0.0","0.0","sa550590"
"Luis Santos","Royals","0","0","4.85","0","0","0","1.0","1","1","0","1","0","1.47","4.72","3.41","5.05","0.0","0.0","sa601624"
"Marcos Camarena","Mets","0","0","5.11","0","0","0","1.0","1","1","0","1","0","1.52","5.07","3.66","5.05","0.0","0.0","sa506924"
"Tyler Kinley","Marlins","0","0","5.13","0","1","0","1.0","1","1","0","1","1","1.67","6.52","6.05","5.05","0.0","-0.1","sa738149"
"Jose Meraz"," ","0","0","5.01","0","1","0","1.0","1","1","0","1","1","1.59","6.20","5.14","5.05","0.0","-0.1","sa509483"
"B.J. Hermsen","Twins","0","0","5.21","0","1","0","1.0","1","1","0","0","0","1.52","4.23","3.02","5.05","0.0","-0.1","sa454729"
"Kellen Moen","Royals","0","0","4.83","0","0","0","1.0","1","1","0","1","0","1.49","4.95","3.72","5.05","0.0","0.0","sa600135"
"Ramon Fernandez","Brewers","0","0","5.05","0","1","0","1.0","1","1","0","1","0","1.56","6.00","4.43","5.05","0.0","-0.1","sa207593"
"Kris Hall","Athletics","0","0","5.06","0","1","0","1.0","1","1","0","1","1","1.66","7.40","6.49","5.05","0.0","-0.1","sa658114"
"Logan Taylor","Mets","0","0","5.14","0","0","0","1.0","1","1","0","1","0","1.55","5.61","4.22","5.05","0.0","0.0","sa658168"
"Bobby Hansen","Nationals","0","0","5.08","0","0","0","1.0","1","1","0","1","0","1.57","5.35","4.47","5.05","0.0","0.0","sa455369"
"Brooks Pinckard","Reds","0","0","4.86","0","1","0","1.0","1","1","0","1","1","1.54","6.56","4.87","5.05","0.0","-0.1","sa546814"
"Elliot Morris","Angels","0","0","5.11","0","0","0","1.0","1","1","0","1","0","1.56","5.59","4.40","5.05","0.0","0.0","sa737798"
"Matt Zaleski","White Sox","0","0","5.12","0","0","0","1.0","1","1","0","1","0","1.48","5.45","3.26","5.05","0.0","0.0","sa253571"
"Chase Johnson","Giants","0","0","5.07","0","0","0","1.0","1","1","0","1","1","1.57","5.26","4.59","5.05","0.0","0.0","sa549740"
"Robinson Yambati","Royals","0","0","4.86","0","1","0","1.0","1","1","0","1","1","1.58","6.37","5.31","5.05","0.0","-0.1","sa504430"
"Cory Jones","Cardinals","0","0","5.00","0","0","0","1.0","1","1","0","1","1","1.56","5.50","4.55","5.05","0.0","0.0","sa658010"
"DJ Snelten","Giants","0","0","5.09","0","1","0","1.0","1","1","0","1","1","1.69","6.85","6.63","5.05","0.0","-0.1","sa549813"
"Jacob Pettit","Orioles","0","0","4.88","0","0","0","1.0","1","1","0","1","0","1.44","4.62","3.01","5.05","0.0","0.0","sa550144"
"Andrew Waszak","Braves","0","0","5.14","0","0","0","1.0","1","1","0","1","0","1.56","5.28","4.08","5.05","0.0","0.0","sa738314"
"Zachary Nuding","Yankees","0","0","4.89","0","0","0","1.0","1","1","0","1","0","1.45","5.46","3.31","5.05","0.0","0.0","sa503167"
"Marcus Jensen","Rays","0","0","4.94","0","1","0","1.0","1","1","0","1","0","1.52","4.98","3.93","5.05","0.0","-0.1","sa502703"
"Justin Livengood","Padres","0","0","5.22","0","1","0","1.0","1","1","0","1","1","1.65","6.56","5.67","5.05","0.0","-0.1","sa737890"
"Tom Jameson","Diamondbacks","0","0","4.95","0","1","0","1.0","1","1","0","1","1","1.58","6.05","4.95","5.05","0.0","-0.1","sa739877"
"Raul Barron"," ","0","0","5.00","0","1","0","1.0","1","1","0","1","1","1.57","5.66","4.55","5.06","0.0","-0.1","sa328471"
"Bobby Shore","Mariners","0","0","5.01","0","0","0","1.0","1","1","0","1","0","1.51","5.42","3.99","5.06","0.0","0.0","sa503345"
"Shawn Morimando","Indians","0","0","5.20","0","0","0","1.0","1","1","0","1","0","1.56","5.24","4.12","5.06","0.0","0.0","sa599725"
"Robert Orlan","Nationals","0","0","5.04","0","1","0","1.0","1","1","0","1","1","1.65","6.53","5.88","5.06","0.0","-0.1","sa503562"
"Matt Milroy","Marlins","0","0","5.21","0","0","0","1.0","1","1","0","1","1","1.63","6.42","5.54","5.06","0.0","0.0","sa503072"
"Nelson Hiraldo"," ","0","0","5.07","0","0","0","1.0","1","1","0","1","0","1.49","4.86","3.35","5.06","0.0","0.0","sa244128"
"Carlos Elizalde"," ","0","0","5.07","0","0","0","1.0","1","1","0","1","0","1.51","5.05","3.56","5.06","0.0","0.0","sa509393"
"Daniel Corcino","Reds","0","0","4.82","0","0","0","1.0","1","1","0","1","0","1.48","6.87","4.40","5.06","0.0","0.0","9266"
"Lee Ridenhour","Phillies","0","0","5.09","0","1","0","1.0","1","1","0","1","1","1.59","6.14","4.84","5.06","0.0","-0.1","sa738188"
"Brandon Barker","Braves","0","0","5.18","0","0","0","1.0","1","1","0","1","1","1.60","6.05","4.93","5.06","0.0","0.0","sa829237"
"Matias Carrillo"," ","0","0","5.02","0","1","0","1.0","1","1","0","1","1","1.60","5.70","4.95","5.06","0.0","-0.1","sa393223"
"Austin Adams","Angels","0","0","5.21","0","1","0","1.0","1","1","0","1","1","1.69","7.91","6.89","5.06","0.0","-0.1","sa658119"
"Oscar Bustillos"," ","0","0","5.07","0","0","0","1.0","1","1","0","1","0","1.55","5.53","4.21","5.06","0.0","0.0","sa199941"
"Oscar Verdugo"," ","0","0","5.08","0","1","0","1.0","1","1","0","1","1","1.57","6.08","4.73","5.06","0.0","-0.1","sa504951"
"Alejandro Astorga"," ","0","0","5.08","0","1","0","1.0","1","1","0","1","1","1.59","6.02","5.00","5.07","0.0","-0.1","sa508712"
"Marco Quevedo"," ","0","0","5.08","0","0","0","1.0","1","1","0","1","0","1.51","5.06","3.62","5.07","0.0","0.0","sa508101"
"Drew Cisco","Reds","0","0","4.87","0","0","0","1.0","1","1","0","0","0","1.42","4.43","2.53","5.07","0.0","0.0","sa548333"
"Montana Durapau","Pirates","0","0","5.17","0","0","0","1.0","1","1","0","1","0","1.58","5.04","4.40","5.07","0.0","0.0","sa829611"
"Francisco Felix"," ","0","0","5.09","0","0","0","1.0","1","1","0","1","0","1.51","5.28","3.76","5.07","0.0","0.0","sa323427"
"Jesus Carrillo"," ","0","0","5.10","0","1","0","1.0","1","1","0","1","1","1.64","6.86","5.92","5.07","0.0","-0.1","sa745946"
"Francisco Cambuston"," ","0","0","5.02","0","1","0","1.0","1","1","0","1","1","1.58","5.70","4.66","5.07","0.0","-0.1","sa596858"
"Jochi Ogando","Mariners","0","0","5.08","0","0","0","1.0","1","1","0","1","1","1.56","6.25","4.80","5.07","0.0","0.0","sa551084"
"CJ Robinson","Marlins","0","0","5.13","0","1","0","1.0","1","1","0","1","1","1.65","6.17","5.70","5.07","0.0","-0.1","sa737907"
"Noel Arguelles","Royals","0","0","4.85","0","1","0","1.0","1","1","0","1","1","1.58","5.69","5.06","5.07","0.0","-0.1","sa536642"
"Christopher Hernandez","Red Sox","0","0","5.07","0","0","0","1.0","1","1","0","1","0","1.55","5.07","4.05","5.07","0.0","0.0","sa390676"
"Adrian Guzman"," ","0","0","5.07","0","1","0","1.0","1","1","0","1","1","1.58","5.60","4.72","5.07","0.0","-0.1","sa655012"
"Hector Hernandez","Diamondbacks","0","0","5.03","0","0","0","1.0","1","1","0","1","0","1.52","4.95","3.88","5.07","0.0","0.0","sa501640"
"Erik Johnson","White Sox","3","5","5.19","11","21","0","73.0","80","42","10","48","33","1.53","5.89","3.99","5.07","0.0","-0.2","12520"
"Jose Lopez Cruz"," ","0","0","5.05","0","1","0","1.0","1","1","0","1","1","1.57","5.73","4.54","5.08","0.0","-0.1","sa509287"
"Chris Smith","Yankees","0","0","4.88","0","1","0","1.0","1","1","0","1","1","1.54","6.49","4.82","5.08","0.0","-0.1","sa826587"
"Robby Rowland","Pirates","0","0","5.09","0","1","0","1.0","1","1","0","1","0","1.57","4.71","4.18","5.08","0.0","-0.1","sa548199"
"Benjamin Sandoval"," ","0","0","5.03","0","1","0","1.0","1","1","0","1","1","1.58","5.82","4.75","5.08","0.0","-0.1","sa545115"
"Martin Campas"," ","0","0","5.09","0","1","0","1.0","1","1","0","1","1","1.60","6.26","5.09","5.08","0.0","-0.1","sa692117"
"Corey Littrell","Red Sox","0","0","5.10","0","0","0","1.0","1","1","0","1","0","1.56","5.49","4.37","5.08","0.0","0.0","sa550166"
"Jhonny Polanco","Cardinals","0","0","5.05","0","1","0","1.0","1","1","0","1","1","1.67","7.10","6.42","5.08","0.0","-0.1","sa504741"
"Raymundo Montero","Giants","0","0","5.10","0","1","0","1.0","1","1","0","1","1","1.67","6.43","6.12","5.08","0.0","-0.1","sa507006"
"Joe Van Meter","Orioles","0","0","4.91","0","0","0","1.0","1","1","0","1","0","1.47","5.74","3.72","5.08","0.0","0.0","sa546681"
"Stefan Lopez","Yankees","0","0","4.88","0","1","0","1.0","1","1","0","1","1","1.54","6.47","4.78","5.08","0.0","-0.1","sa658302"
"Manauris Baez"," ","0","0","5.10","0","0","0","1.0","1","1","0","1","0","1.53","5.32","3.96","5.08","0.0","0.0","sa456079"
"Carlos Medina"," ","0","0","5.06","0","1","0","1.0","1","1","0","1","1","1.63","6.27","5.52","5.08","0.0","-0.1","sa728815"
"Jordan Hershiser","Dodgers","0","0","4.98","0","1","0","1.0","1","1","0","1","1","1.59","6.28","5.20","5.08","0.0","-0.1","sa658976"
"Lance Mccullers","Astros","0","0","5.30","0","0","0","1.0","1","1","0","1","1","1.61","7.25","5.45","5.08","0.0","0.0","sa657858"
"Jose Jose","Diamondbacks","0","0","5.04","0","1","0","1.0","1","1","0","1","1","1.66","7.17","6.31","5.08","0.0","-0.1","sa506778"
"Jordan Harrison","Rays","0","0","5.04","0","0","0","1.0","1","1","0","1","0","1.56","5.21","4.45","5.08","0.0","0.0","sa502697"
"Jean Toledo"," ","0","0","5.11","0","0","0","1.0","1","1","0","1","0","1.54","5.42","4.04","5.08","0.0","0.0","sa202692"
"Aaron Slegers","Twins","0","0","5.31","0","0","0","1.0","1","1","0","1","0","1.54","4.71","3.40","5.09","0.0","0.0","sa737811"
"Brad Allen","Blue Jays","0","0","5.16","0","0","0","1.0","1","1","0","1","0","1.53","5.93","4.01","5.09","0.0","0.0","sa580419"
"Yeiper Castillo","Angels","0","0","5.15","0","0","0","1.0","1","1","0","1","0","1.56","5.60","4.45","5.09","0.0","0.0","sa455793"
"Francisco Rivera"," ","0","0","5.09","0","0","0","1.0","1","1","0","1","0","1.51","4.98","3.58","5.09","0.0","0.0","sa185704"
"Artie Reyes","Cardinals","0","0","5.00","0","0","0","1.0","1","1","0","1","0","1.55","5.06","4.23","5.09","0.0","0.0","sa739006"
"Ty Wagner","Brewers","0","0","5.14","0","0","0","1.0","1","1","0","1","0","1.56","5.88","4.34","5.09","0.0","0.0","sa658003"
"Sergio Mora"," ","0","0","5.08","0","0","0","1.0","1","1","0","1","0","1.54","5.24","3.99","5.09","0.0","0.0","sa509473"
"Tanner Robles","Reds","0","0","4.95","0","0","0","1.0","1","1","0","1","1","1.53","6.04","4.52","5.09","0.0","0.0","sa390675"
"Michael Ynoa","White Sox","1","1","5.20","0","15","0","15.0","15","9","2","12","10","1.62","7.49","5.77","5.09","-0.1","-0.2","sa549595"
"Rafael Servin"," ","0","0","5.07","0","1","0","1.0","1","1","0","1","1","1.61","6.22","5.23","5.09","0.0","-0.1","sa542112"
"Benjamin O'Shea","Cardinals","0","0","5.03","0","0","0","1.0","1","1","0","1","0","1.56","4.88","4.39","5.09","0.0","0.0","sa598091"
"Hugo Gutierrez"," ","0","0","5.03","0","1","0","1.0","1","1","0","1","0","1.56","5.42","4.38","5.09","0.0","-0.1","sa544302"
"Antonio Cruz","Royals","0","0","4.92","0","1","0","1.0","1","1","0","1","1","1.63","6.63","5.99","5.10","0.0","-0.1","sa506741"
"Colton Reavis","Rays","0","0","5.05","0","1","0","1.0","1","1","0","1","1","1.62","6.45","5.58","5.10","0.0","-0.1","sa738451"
"Wilsen Palacios","Tigers","0","0","5.14","0","0","0","1.0","1","1","0","1","0","1.50","4.82","3.32","5.10","0.0","0.0","sa510106"
"Mauricio Cabrera","Braves","0","0","5.22","0","1","0","1.0","1","1","0","1","1","1.64","6.60","5.62","5.10","0.0","-0.1","sa596857"
"Jared Lakind","Pirates","0","0","5.17","0","1","0","1.0","1","1","0","1","1","1.68","5.97","5.96","5.10","0.0","-0.1","sa549657"
"Justin Gallant","Twins","0","0","5.32","0","1","0","1.0","1","1","0","1","1","1.70","7.17","6.30","5.10","0.0","-0.1","sa549670"
"Demetrio Gutierrez"," ","0","0","5.11","0","0","0","1.0","1","1","0","1","0","1.54","4.57","3.75","5.10","0.0","0.0","sa509262"
"Daury Torrez","Cubs","0","0","5.15","0","0","0","1.0","1","1","0","1","0","1.52","4.63","3.46","5.10","0.0","0.0","sa596959"
"Troy Neiman","Rockies","0","0","5.20","0","1","0","1.0","1","1","0","1","1","1.64","6.95","5.44","5.10","0.0","0.0","sa743088"
"David Filak","Braves","0","0","5.23","0","0","0","1.0","1","1","0","1","1","1.60","5.91","4.80","5.10","0.0","0.0","sa548296"
