"Name","Team","W","L","ERA","GS","G","SV","IP","H","ER","HR","SO","BB","WHIP","K/9","BB/9","FIP","WAR","RA9-WAR","playerid"
"Rob Rasmussen","Blue Jays","1","1","4.01","0","20","0","20.0","19","9","2","18","8","1.35","8.11","3.66","4.08","0.0","0.0","11250"
"Aaron Nola","Phillies","4","5","4.17","13","13","0","74.0","74","34","9","59","22","1.30","7.19","2.67","4.08","0.5","0.4","sa599230"
"Jay Voss","Cardinals","0","0","3.97","0","1","0","1.0","1","0","0","1","0","1.35","7.31","3.67","4.08","0.0","0.1","sa390455"
"Steve Delabar","Blue Jays","2","2","4.00","0","40","0","40.0","35","18","5","42","19","1.35","9.50","4.31","4.08","0.1","0.1","11827"
"Wilmer Font","Rangers","0","0","4.12","0","1","0","1.0","1","0","0","1","1","1.40","9.10","4.61","4.08","0.0","0.1","5257"
"Hayden Beard","Padres","0","0","4.22","0","0","0","1.0","1","0","0","1","0","1.32","6.87","2.77","4.08","0.0","0.0","sa329007"
"Omar Poveda","Nationals","0","0","4.13","0","0","0","1.0","1","0","0","1","0","1.34","7.09","3.16","4.08","0.0","0.0","sa294843"
"Tim Byrdak","Mets","0","0","4.02","0","1","0","1.0","1","0","0","1","0","1.35","7.78","3.59","4.08","0.0","0.1","1995"
"Matt Garza","Brewers","10","12","4.16","31","31","0","191.0","193","88","24","159","56","1.30","7.46","2.64","4.08","1.6","1.2","3340"
"Jake Petricka","White Sox","3","3","4.13","0","55","1","55.0","54","25","5","45","26","1.45","7.38","4.28","4.08","0.0","-0.1","10534"
"Jose Gonzalez","Twins","0","0","4.16","0","1","0","1.0","1","0","0","1","0","1.39","7.76","3.77","4.08","0.0","0.1","sa504004"
"Gavin Floyd","Indians","2","2","4.18","5","5","0","28.0","28","13","3","22","8","1.31","7.02","2.71","4.08","0.2","0.2","3886"
"Hunter Cervenka","Cubs","0","0","4.07","0","1","0","1.0","1","0","0","1","1","1.42","8.75","4.82","4.08","0.0","0.1","sa455521"
"Ryan Perry","Nationals","0","0","4.07","0","1","0","1.0","1","0","0","1","0","1.36","7.22","3.45","4.08","0.0","0.1","8799"
"Greg Burke","Rockies","0","0","4.15","0","10","0","10.0","10","5","1","8","4","1.38","7.58","3.39","4.09","0.0","0.0","6282"
"Darin Downs","Astros","0","1","4.14","0","10","0","10.0","9","5","1","9","4","1.36","8.03","3.74","4.09","0.0","0.0","5903"
"Jorge Rondon","Cardinals","0","0","3.98","0","1","0","1.0","1","0","0","1","0","1.36","7.36","3.74","4.09","0.0","0.1","5791"
"Rubby de la Rosa","Diamondbacks","8","9","4.11","23","33","0","141.0","136","65","15","117","53","1.34","7.45","3.35","4.09","1.1","0.9","3862"
"Jake Odorizzi","Rays","10","10","3.88","29","29","0","165.0","152","71","21","150","56","1.26","8.21","3.07","4.09","1.3","1.6","6397"
"Ervin Santana","Twins","11","13","4.37","32","32","0","203.0","209","98","24","160","62","1.34","7.11","2.74","4.09","2.0","1.2","3200"
"Justin Masterson","Red Sox","11","10","4.23","29","29","0","166.0","165","78","13","129","71","1.42","6.99","3.87","4.09","1.9","1.5","2038"
"Mitch Lively","Giants","0","0","4.12","0","0","0","1.0","1","0","0","1","0","1.37","7.05","3.63","4.09","0.0","0.0","sa390254"
"Luis Sanz","Pirates","0","0","4.14","0","1","0","1.0","1","0","0","1","0","1.38","7.02","3.56","4.09","0.0","0.1","sa456447"
"Shelby Miller","Braves","9","11","4.06","29","29","0","167.0","160","75","20","150","61","1.31","8.05","3.26","4.09","1.2","1.0","10197"
"Sean Gleason"," ","0","0","4.06","0","1","0","1.0","1","0","0","1","0","1.34","7.23","3.22","4.09","0.0","0.1","sa328260"
"Kenny Long","Astros","0","0","4.08","0","1","0","1.0","1","0","0","1","0","1.36","8.04","3.78","4.09","0.0","0.1","sa578059"
"Matt Daley","Yankees","0","0","3.76","0","1","0","1.0","1","0","0","1","0","1.24","7.99","2.81","4.09","0.0","0.1","7952"
"Christian Binford","Royals","0","0","3.96","0","0","0","1.0","1","0","0","1","0","1.26","6.34","2.24","4.09","0.0","0.0","sa599309"
"Jaye Chapman","Cubs","0","0","4.12","0","1","0","1.0","1","0","0","1","0","1.39","7.76","3.98","4.09","0.0","0.1","9096"
"Emmanuel De Leon","Pirates","0","0","4.11","0","1","0","1.0","1","0","0","1","0","1.39","7.17","3.78","4.09","0.0","0.1","sa507213"
"Tyler Waldron","Pirates","0","0","4.15","0","1","0","1.0","1","0","0","1","0","1.34","6.45","2.88","4.09","0.0","-0.1","sa545242"
"Nick Rodgers","Royals","0","0","3.95","0","1","0","1.0","1","0","0","1","0","1.37","8.06","4.20","4.09","0.0","0.1","sa550452"
"Matt Moore","Rays","9","10","3.93","28","28","0","156.0","141","68","17","139","65","1.32","8.04","3.74","4.09","1.1","1.3","1890"
"Justin Hampson","Mets","0","0","4.05","0","1","0","1.0","1","0","0","1","0","1.37","6.99","3.43","4.09","0.0","0.1","2209"
"Brandon Cumpton","Pirates","0","0","4.21","0","0","0","1.0","1","0","0","1","0","1.35","5.97","2.67","4.10","0.0","0.0","11366"
"Angel Baez","Royals","0","0","3.95","0","1","0","1.0","1","0","0","1","0","1.36","8.06","4.15","4.10","0.0","0.1","sa506361"
"Octavio Dotel","Tigers","0","0","4.09","0","1","0","1.0","1","0","0","1","0","1.30","6.99","2.75","4.10","0.0","0.1","555"
"Ryan Rowland-Smith","Diamondbacks","0","0","3.96","0","1","0","1.0","1","0","0","1","0","1.33","7.34","3.26","4.10","0.0","0.1","3245"
"Ben Snyder","Rangers","0","0","4.09","0","1","0","1.0","1","0","0","1","0","1.34","7.48","3.25","4.10","0.0","0.1","sa326705"
"Jose Casilla","Giants","0","0","4.02","0","1","0","1.0","1","0","0","1","0","1.35","6.51","3.22","4.10","0.0","0.1","sa456056"
"Kevin Chapman","Astros","1","1","4.15","0","25","0","25.0","22","12","2","25","13","1.42","8.96","4.74","4.10","0.0","0.0","11240"
"Mason Radeke"," ","0","0","4.15","0","0","0","1.0","1","0","0","1","0","1.31","7.12","2.86","4.10","0.0","0.0","sa599737"
"Jeremy Hellickson","Diamondbacks","9","10","4.02","28","28","0","158.0","156","71","20","126","44","1.27","7.15","2.51","4.10","1.2","1.3","4371"
"Justin Marks","Royals","0","0","3.86","0","1","0","1.0","1","0","0","1","0","1.33","7.26","3.49","4.10","0.0","0.1","10265"
"Clayton Mortensen","Red Sox","0","0","4.03","0","1","0","1.0","1","0","0","1","0","1.34","6.99","3.08","4.10","0.0","0.1","3166"
"Jess Todd","Indians","0","0","4.13","0","1","0","1.0","1","0","0","1","0","1.36","7.48","3.40","4.10","0.0","0.1","3805"
"Bryce Morrow","Padres","0","0","4.23","0","0","0","1.0","1","0","0","1","0","1.32","6.35","2.45","4.10","0.0","0.0","sa745009"
"Sean Henn","Mets","0","0","4.04","0","1","0","1.0","1","0","0","1","0","1.38","7.72","3.88","4.10","0.0","0.1","2147"
"Joe Ortiz","Rangers","0","0","4.06","0","1","0","1.0","1","0","0","1","0","1.34","6.89","2.94","4.10","0.0","0.1","7955"
"Jairo Asencio","Orioles","0","0","3.94","0","1","0","1.0","1","0","0","1","0","1.30","7.75","3.28","4.10","0.0","0.1","3332"
"Jim Fuller","Twins","0","0","4.19","0","1","0","1.0","1","0","0","1","0","1.43","8.23","4.38","4.10","0.0","-0.1","sa455447"
"Scott Oberg","Rockies","0","0","4.18","0","1","0","1.0","1","0","0","1","0","1.39","8.06","3.70","4.11","0.0","0.0","sa526291"
"Derrick Loop","Dodgers","0","0","3.98","0","0","0","1.0","1","0","0","1","0","1.32","7.06","3.15","4.11","0.0","0.0","sa328208"
"Zech Zinicola","Orioles","0","0","3.91","0","1","0","1.0","1","0","0","1","0","1.30","7.66","3.23","4.11","0.0","0.1","sa326785"
"Clayton Richard","Padres","0","0","4.29","0","0","0","1.0","1","0","0","1","0","1.36","5.48","2.31","4.11","0.0","0.0","3551"
"Josh Zeid","Tigers","1","1","4.13","0","20","0","20.0","19","9","2","17","8","1.37","7.72","3.69","4.11","0.0","0.0","6527"
"Joel Lima","Dodgers","0","0","3.96","0","1","0","1.0","1","0","0","1","0","1.33","7.24","3.32","4.11","0.0","0.1","sa506962"
"Juan Abreu","Astros","0","0","4.20","0","1","0","1.0","1","0","0","1","0","1.39","8.55","4.24","4.11","0.0","-0.1","6306"
"Daniel Huchingson","Mets","0","0","4.08","0","1","0","1.0","1","0","0","1","0","1.40","8.20","4.30","4.11","0.0","0.1","sa455464"
"Rett Varner","Marlins","0","0","4.14","0","1","0","1.0","1","0","0","1","0","1.40","7.09","3.80","4.11","0.0","0.1","sa503048"
"Dan Jennings","White Sox","2","2","4.21","0","40","0","40.0","38","19","4","37","18","1.39","8.24","4.02","4.11","0.0","0.0","8073"
