name,pos,team,year,rk,mlb_id
Jurickson Profar,ss/2b,Rangers,2013,1,595777
Dylan Bundy,rhp,Orioles,2013,2,605164
Oscar Taveras,of,Cardinals,2013,3,570805
Wil Myers,of/3b,Rays,2013,4,571976
Jose Fernandez,rhp,Marlins,2013,5,605228
Shelby Miller,rhp,Cardinals,2013,6,571946
Gerrit Cole,rhp,Pirates,2013,7,543037
Xander Bogaerts,ss,Red Sox,2013,8,593428
Miguel Sano,3b,Twins,2013,9,593934
Byron Buxton,of,Twins,2013,10,621439
Zack Wheeler,rhp,Mets,2013,11,554430
Tyler Skaggs,lhp,Diamondbacks,2013,12,572140
Carlos Correa,ss,Astros,2013,13,621043
Trevor Bauer,rhp,Indians,2013,14,545333
Christian Yelich,of,Marlins,2013,15,592885
Javier Baez,ss,Cubs,2013,16,595879
Mike Zunino,c,Mariners,2013,17,572287
Taijuan Walker,rhp,Mariners,2013,18,592836
Jameson Taillon,rhp,Pirates,2013,19,592791
Billy Hamilton,of/ss,Reds,2013,20,571740
Nick Castellanos,3b/of,Tigers,2013,21,592206
Mike Olt,3b/1b,Rangers,2013,22,592609
Travis D'Arnaud,c,Mets,2013,23,518595
Kyle Zimmer,rhp,Royals,2013,24,622092
Archie Bradley,rhp,Diamondbacks,2013,25,605151
Kevin Gausman,rhp,Orioles,2013,26,592332
Jonathan Singleton,1b/of,Astros,2013,27,572138
Francisco Lindor,ss,Indians,2013,28,596019
Danny Hultzen,lhp,Mariners,2013,29,543343
Anthony Rendon,3b,Nationals,2013,30,543685
Jackie Bradley,of,Red Sox,2013,31,598265
Mason Williams,of,Yankees,2013,32,592863
Albert Almora,of,Cubs,2013,33,546991
Jorge Soler,of,Cubs,2013,34,624585
Bubba Starling,of,Royals,2013,35,605490
Chris Archer,rhp,Rays,2013,36,502042
George Springer,of,Astros,2013,37,543807
Carlos Martinez,rhp,Cardinals,2013,38,593372
Trevor Rosenthal,rhp,Cardinals,2013,39,572096
Matt Barnes,rhp,Red Sox,2013,40,598264
Oswaldo Arcia,of,Twins,2013,41,542455
Hyun-Jin Ryu,lhp,Dodgers,2013,42,547943
Andrew Heaney,lhp,Marlins,2013,43,571760
Julio Teheran,rhp,Braves,2013,44,527054
Casey Kelly,rhp,Padres,2013,45,543391
Max Fried,lhp,Padres,2013,46,608331
Yasiel Puig,of,Dodgers,2013,47,624577
Addison Russell,ss,Athletics,2013,48,608365
Allen Webster,rhp,Red Sox,2013,49,543903
Lance Mccullers Jr.,rhp,Astros,2013,50,621121
Gregory Polanco,of,Pirates,2013,51,570256
Nolan Arenado,3b,Rockies,2013,52,571448
David Dahl,of,Rockies,2013,53,621311
Noah Syndergaard,rhp,Mets,2013,54,592789
Courtney Hawkins,of,White Sox,2013,55,621445
Robert Stephenson,rhp,Reds,2013,56,596112
Gary Sanchez,c,Yankees,2013,57,596142
Austin Hedges,c,Padres,2013,58,595978
Alex Meyer,rhp,Twins,2013,59,543542
Kaleb Cowart,3b,Angels,2013,60,592230
Alen Hanson,ss,Pirates,2013,61,593700
Taylor Guerrieri,rhp,Rays,2013,62,605260
Slade Heathcott,of,Yankees,2013,63,571761
Jake Marisnick,of,Marlins,2013,64,545350
Aaron Sanchez,rhp,Blue Jays,2013,65,592717
Kyle Crick,rhp,Giants,2013,66,605195
Lucas Giolito,rhp,Nationals,2013,67,608337
Kyle Gibson,rhp,Twins,2013,68,502043
Wily Peralta,rhp,Brewers,2013,69,503449
Brian Goodwin,of,Nationals,2013,70,571718
Jedd Gyorko,3b/2b,Padres,2013,71,576397
Aaron Hicks,of,Twins,2013,72,543305
Adam Eaton,of,Diamondbacks,2013,73,594809
Avisail Garcia,of,Tigers,2013,74,541645
Marcell Ozuna,of,Marlins,2013,75,542303
Michael Wacha,rhp,Cardinals,2013,76,608379
Tyler Austin,of,Yankees,2013,77,592122
Luis Heredia,rhp,Pirates,2013,78,599093
Nick Franklin,ss/2b,Mariners,2013,79,545338
Didi Gregorius,ss,Diamondbacks,2013,80,544369
Martin Perez,lhp,Rangers,2013,81,527048
Tony Cingrani,lhp,Reds,2013,82,571561
Arodys Vizcaino,rhp,Cubs,2013,83,527055
Kolten Wong,2b,Cardinals,2013,84,543939
Yordano Ventura,rhp,Royals,2013,85,570649
Justin Nicolino,lhp,Marlins,2013,86,592593
James Paxton,lhp,Mariners,2013,87,572020
Matt Davidson,3b,Diamondbacks,2013,88,571602
Jesse Biddle,lhp,Phillies,2013,89,592145
Hak-Ju Lee,ss,Rays,2013,90,573349
Henry Owens,lhp,Red Sox,2013,91,596064
Jake Odorizzi,rhp,Rays,2013,92,543606
J.R. Graham,rhp,Braves,2013,93,543242
Daniel Corcino,rhp,Reds,2013,94,542289
Bruce Rondon,rhp,Tigers,2013,95,541652
Trevor Story,ss/3b,Rockies,2013,96,596115
Leonys Martin,of,Rangers,2013,97,547982
Marcus Stroman,rhp,Blue Jays,2013,98,573186
Delino Deshields Jr.,2b,Astros,2013,99,592261
Roman Quinn,ss,Phillies,2013,100,596451
Bryce Harper,of,Nationals,2012,1,547180
Matt Moore,lhp,Rays,2012,2,519043
Mike Trout,of,Angels,2012,3,545361
Yu Darvish,rhp,Rangers,2012,4,506433
Julio Teheran,rhp,Braves,2012,5,527054
Jesus Montero,c,Mariners,2012,6,524968
Jurickson Profar,ss,Rangers,2012,7,595777
Shelby Miller,rhp,Cardinals,2012,8,571946
Trevor Bauer,rhp,Diamondbacks,2012,9,545333
Dylan Bundy,rhp,Orioles,2012,10,605164
Manny Machado,ss,Orioles,2012,11,592518
Gerrit Cole,rhp,Pirates,2012,12,543037
Tyler Skaggs,lhp,Diamondbacks,2012,13,572140
Yoenis Cespedes,of,Athletics,2012,14,493316
Jameson Taillon,rhp,Pirates,2012,15,592791
Devin Mesoraco,c,Reds,2012,16,519023
Travis D'Arnaud,c,Blue Jays,2012,17,518595
Miguel Sano,3b/ss,Twins,2012,18,593934
Anthony Rendon,3b,Nationals,2012,19,543685
Taijuan Walker,rhp,Mariners,2012,20,592836
Danny Hultzen,lhp,Mariners,2012,21,543343
Jacob Turner,rhp,Tigers,2012,22,545363
Mike Montgomery,lhp,Royals,2012,23,543557
Bubba Starling,of,Royals,2012,24,605490
Archie Bradley,rhp,Diamondbacks,2012,25,605151
Jarrod Parker,rhp,Athletics,2012,26,519105
Carlos Martinez,rhp,Cardinals,2012,27,593372
Wil Myers,of,Royals,2012,28,571976
Manny Banuelos,lhp,Yankees,2012,29,544365
Drew Pomeranz,lhp,Rockies,2012,30,519141
Martin Perez,lhp,Rangers,2012,31,527048
Brett Jackson,of,Cubs,2012,32,571804
Yonder Alonso,of/1b,Padres,2012,33,475174
Jonathan Singleton,1b/of,Astros,2012,34,572138
Zack Wheeler,rhp,Mets,2012,35,554430
Brad Peacock,rhp,Athletics,2012,36,502748
Francisco Lindor,ss,Indians,2012,37,596019
Gary Brown,of,Giants,2012,38,518502
Anthony Gose,of,Blue Jays,2012,39,543238
Arodys Vizcaino,rhp,Braves,2012,40,527055
Christian Yelich,of,Marlins,2012,41,592885
Nolan Arenado,3b,Rockies,2012,42,571448
Mike Olt,3b,Rangers,2012,43,592609
Hak-Ju Lee,ss,Rays,2012,44,573349
Nick Castellanos,3b,Tigers,2012,45,592206
Randall Delgado,rhp,Braves,2012,46,517414
Anthony Rizzo,1b,Cubs,2012,47,519203
Billy Hamilton,ss,Reds,2012,48,571740
Rymer Liriano,of,Padres,2012,49,542642
Jarred Cosart,rhp,Astros,2012,50,543054
Will Middlebrooks,3b,Red Sox,2012,51,519025
James Paxton,lhp,Mariners,2012,52,572020
Yasmani Grandal,c,Padres,2012,53,518735
Matt Harvey,rhp,Mets,2012,54,518774
Jean Segura,ss,Angels,2012,55,516416
Wily Peralta,rhp,Brewers,2012,56,503449
A.J. Cole,rhp,Athletics,2012,57,595918
Xander Bogaerts,ss,Red Sox,2012,58,593428
George Springer,of,Astros,2012,59,543807
Josh Bell,of,Pirates,2012,60,605137
Javier Baez,ss,Cubs,2012,61,595879
Zach Lee,rhp,Dodgers,2012,62,545346
Dellin Betances,rhp,Yankees,2012,63,476454
Matt Szczur,of,Cubs,2012,64,519333
Sonny Gray,rhp,Athletics,2012,65,543243
Addison Reed,rhp,White Sox,2012,66,592665
Jake Marisnick,of,Blue Jays,2012,67,545350
Jake Odorizzi,rhp,Royals,2012,68,543606
Trevor May,rhp,Phillies,2012,69,543507
Taylor Jungmann,rhp,Brewers,2012,70,543380
Jed Bradley,lhp,Brewers,2012,71,605152
Blake Swihart,c,Red Sox,2012,72,596119
Starling Marte,of,Pirates,2012,73,516782
Oscar Taveras,of,Cardinals,2012,74,570805
Zack Cozart,ss,Reds,2012,75,446359
Casey Kelly,rhp,Padres,2012,76,543391
Nick Franklin,ss/2b,Mariners,2012,77,545338
Cory Spangenberg,2b,Padres,2012,78,605486
Leonys Martin,of,Rangers,2012,79,547982
Michael Choice,of,Athletics,2012,80,574831
Gary Sanchez,c,Yankees,2012,81,596142
Jonathan Schoop,inf,Orioles,2012,82,570731
Garrett Richards,rhp,Angels,2012,83,572070
Cheslor Cuthbert,3b,Royals,2012,84,596144
Mason Williams,of,Yankees,2012,85,592863
Chad Bettis,rhp,Rockies,2012,86,518452
Wilin Rosario,c,Rockies,2012,87,501647
Zack Cox,3b,Cardinals,2012,88,543059
Chris Archer,rhp,Rays,2012,89,502042
Taylor Guerrieri,rhp,Rays,2012,90,605260
Daniel Norris,lhp,Blue Jays,2012,91,596057
Andrelton Simmons,ss,Braves,2012,92,592743
Kolten Wong,2b,Cardinals,2012,93,543939
Tyrell Jenkins,rhp,Cardinals,2012,94,592433
Allen Webster,rhp,Dodgers,2012,95,543903
Nate Eovaldi,rhp,Dodgers,2012,96,543135
Matt Davidson,3b/1b,Diamondbacks,2012,97,571602
Jedd Gyorko,3b,Padres,2012,98,576397
Joe Benson,of,Twins,2012,99,501994
Christian Villanueva,3b,Rangers,2012,100,570799
Bryce Harper,of,Nationals,2011,1,547180
Mike Trout,of,Angels,2011,2,545361
Jesus Montero,c,Yankees,2011,3,524968
Domonic Brown,of,Phillies,2011,4,502126
Julio Teheran,rhp,Braves,2011,5,527054
Jeremy Hellickson,rhp,Rays,2011,6,476451
Aroldis Chapman,lhp,Reds,2011,7,547973
Eric Hosmer,1b,Royals,2011,8,543333
Mike Moustakas,3b,Royals,2011,9,519058
Wil Myers,of/c,Royals,2011,10,571976
Jameson Taillon,rhp,Pirates,2011,11,592791
Dustin Ackley,2b,Mariners,2011,12,554429
Shelby Miller,rhp,Cardinals,2011,13,571946
Manny Machado,ss,Orioles,2011,14,592518
Matt Moore,lhp,Rays,2011,15,519043
Michael Pineda,rhp,Mariners,2011,16,501381
Freddie Freeman,1b,Braves,2011,17,518692
John Lamb,lhp,Royals,2011,18,543424
Mike Montgomery,lhp,Royals,2011,19,543557
Chris Sale,lhp,White Sox,2011,20,519242
Jacob Turner,rhp,Tigers,2011,21,545363
Desmond Jennings,of,Rays,2011,22,457775
Brandon Belt,1b,Giants,2011,23,474832
Martin Perez,lhp,Rangers,2011,24,527048
Lonnie Chisenhall,3b,Indians,2011,25,502082
Dee Gordon,ss,Dodgers,2011,26,543829
Chris Archer,rhp,Rays,2011,27,502042
Zach Britton,lhp,Orioles,2011,28,502154
Kyle Drabek,rhp,Blue Jays,2011,29,475138
Gary Sanchez,c,Yankees,2011,30,596142
Casey Kelly,rhp,Padres,2011,31,543391
Tyler Matzek,lhp,Rockies,2011,32,554431
Jarrod Parker,rhp,Diamondbacks,2011,33,519105
Kyle Gibson,rhp,Twins,2011,34,502043
Randall Delgado,rhp,Braves,2011,35,517414
Travis D'Arnaud,c,Blue Jays,2011,36,518595
Mike Minor,lhp,Braves,2011,37,501985
Brett Jackson,of,Cubs,2011,38,571804
Jonathan Singleton,1b/of,Phillies,2011,39,572138
Brett Lawrie,2b,Blue Jays,2011,40,543434
Manny Banuelos,lhp,Yankees,2011,41,544365
Jordan Lyles,rhp,Astros,2011,42,543475
Dellin Betances,rhp,Yankees,2011,43,476454
Jenrry Mejia,rhp,Mets,2011,44,516769
Aaron Hicks,of,Twins,2011,45,543305
Tony Sanchez,c,Pirates,2011,46,506997
Alex White,rhp,Indians,2011,47,502229
Trey Mcnutt,rhp,Cubs,2011,48,571939
Wilin Rosario,c,Rockies,2011,49,501647
Billy Hamilton,ss/2b,Reds,2011,50,571740
Christian Colon,ss,Royals,2011,51,518568
Jose Iglesias,ss,Red Sox,2011,52,578428
Nick Franklin,ss/2b,Mariners,2011,53,545338
Jason Kipnis,2b,Indians,2011,54,543401
Zack Wheeler,rhp,Giants,2011,55,554430
Brody Colvin,rhp,Phillies,2011,56,571573
Jean Segura,2b,Angels,2011,57,516416
Simon Castro,rhp,Padres,2011,58,501563
Wilmer Flores,ss,Mets,2011,59,527038
Miguel Sano,3b/ss,Twins,2011,60,593934
Drew Pomeranz,lhp,Indians,2011,61,519141
Zack Cox,3b,Cardinals,2011,62,543059
Grant Green,ss,Athletics,2011,63,502205
Devin Mesoraco,c,Reds,2011,64,519023
Nick Castellanos,3b,Tigers,2011,65,592206
Danny Espinosa,ss/2b,Nationals,2011,66,457787
Anthony Ranaudo,rhp,Red Sox,2011,67,519168
Danny Duffy,lhp,Royals,2011,68,518633
Jake Odorizzi,rhp,Royals,2011,69,543606
Jarred Cosart,rhp,Phillies,2011,70,543054
Jake Mcgee,lhp,Rays,2011,71,459429
Derek Norris,c,Nationals,2011,72,519083
Yonder Alonso,1b/of,Reds,2011,73,475174
Jurickson Profar,ss,Rangers,2011,74,595777
Anthony Rizzo,1b,Padres,2011,75,519203
Tyler Chatwood,rhp,Angels,2011,76,543022
Cesar Puello,of,Mets,2011,77,527049
Andrew Brackman,rhp,Yankees,2011,78,457581
Stetson Allie,rhp,Pirates,2011,79,592105
Nolan Arenado,3b,Rockies,2011,80,571448
Matt Dominguez,3b,Marlins,2011,81,518625
Tyler Skaggs,lhp,Diamondbacks,2011,82,572140
Chris Dwyer,lhp,Royals,2011,83,543125
Tanner Scheppers,rhp,Rangers,2011,84,489294
Brent Morel,3b/ss,White Sox,2011,85,543569
Craig Kimbrel,rhp,Braves,2011,86,518886
Andy Oliver,lhp,Tigers,2011,87,501989
Josh Sale,of,Rays,2011,88,592714
Zach Lee,rhp,Dodgers,2011,89,545346
Rubby De La Rosa,rhp,Dodgers,2011,90,523989
Chris Carter,1b/of,Athletics,2011,91,452080
Hak-Ju Lee,ss,Rays,2011,92,573349
Arodys Vizcaino,rhp,Braves,2011,93,527055
Jonathan Villar,ss,Astros,2011,94,542340
Deck Mcguire,rhp,Blue Jays,2011,95,592547
Wilson Ramos,c,Nationals,2011,96,467092
Drake Britton,lhp,Red Sox,2011,97,518493
Austin Romine,c,Yankees,2011,98,519222
Matt Davidson,3b,Diamondbacks,2011,99,571602
Joe Benson,of,Twins,2011,100,501994
Jason Heyward,OF,BRAVES,2010,1,518792
Stephen Strasburg,RHP,NATIONALS,2010,2,544931
Mike Stanton,OF,MARLINS,2010,3,122679
Jesus Montero,C,YANKEES,2010,4,524968
Brian Matusz,LHP,ORIOLES,2010,5,451085
Desmond Jennings,OF,RAYS,2010,6,457775
Buster Posey,C,GIANTS,2010,7,457763
Pedro Alvarez,3B,PIRATES,2010,8,476883
Neftali Feliz,RHP,RANGERS,2010,9,491703
Carlos Santana,C,INDIANS,2010,10,467793
Dustin Ackley,OF/1B,MARINERS,2010,11,554429
Alcides Escobar,SS,BREWERS,2010,12,444876
Justin Smoak,1B,RANGERS,2010,13,475253
Madison Bumgarner,LHP,GIANTS,2010,14,518516
Domonic Brown,OF,PHILLIES,2010,15,502126
Starlin Castro,SS,CUBS,2010,16,516770
Martin Perez,LHP,RANGERS,2010,17,527048
Jeremy Hellickson,RHP,RAYS,2010,18,476451
Aaron Hicks,OF,TWINS,2010,19,543305
Logan Morrison,1B,MARLINS,2010,20,489149
Ryan Westmoreland,OF,RED SOX,2010,21,543910
Aroldis Chapman,LHP,REDS,2010,22,547973
Tyler Matzek,LHP,ROCKIES,2010,23,554431
Casey Kelly,RHP,RED SOX,2010,24,543391
Kyle Drabek,RHP,BLUE JAYS,2010,25,475138
Jacob Turner,RHP,TIGERS,2010,26,545363
Brett Wallace,3B/1B,BLUE JAYS,2010,27,477165
Chris Carter,OF/1B,ATHLETICS,2010,28,452080
Michael Taylor,OF,ATHLETICS,2010,29,446345
Michael Saunders,OF,MARINERS,2010,30,459431
Lonnie Chisenhall,3B,INDIANS,2010,31,502082
Freddie Freeman,1B,BRAVES,2010,32,518692
Christian Friedrich,LHP,ROCKIES,2010,33,543184
Wade Davis,RHP,RAYS,2010,34,451584
Matt Moore,LHP,RAYS,2010,35,519043
Jarrod Parker,RHP,DIAMONDBACKS,2010,36,519105
Josh Bell,3B,ORIOLES,2010,37,458679
Derek Norris,C,NATIONALS,2010,38,519083
Mike Montgomery,LHP,ROYALS,2010,39,543557
Aaron Crow,RHP,ROYALS,2010,40,543070
Jason Castro,C,ASTROS,2010,41,488771
Tanner Scheppers,RHP,RANGERS,2010,42,489294
Todd Frazier,OF/2B,REDS,2010,43,453943
Nick Hagadone,LHP,INDIANS,2010,44,444935
Yonder Alonso,1B,REDS,2010,45,475174
Dee Gordon,SS,DODGERS,2010,46,543829
Casey Crosby,LHP,TIGERS,2010,47,518582
Chris Withrow,RHP,DODGERS,2010,48,519437
Zack Wheeler,RHP,GIANTS,2010,49,554430
Shelby Miller,RHP,CARDINALS,2010,50,571946
Julio Teheran,RHP,BRAVES,2010,51,527054
Grant Green,SS,ATHLETICS,2010,52,502205
Donavan Tate,OF,PADRES,2010,53,545360
Reid Brignac,SS,RAYS,2010,54,458582
Jared Mitchell,OF,WHITE SOX,2010,55,502200
Jennry Mejia,RHP,METS,2010,56,516769
Simon Castro,RHP,PADRES,2010,57,501563
Wilson Ramos,C,TWINS,2010,58,467092
Brett Lawrie,2B,BREWERS,2010,59,543434
Tyler Flowers,C,WHITE SOX,2010,60,452095
Kyle Gibson,RHP,TWINS,2010,61,502043
Ike Davis,1B,METS,2010,62,113113
Zach Britton,LHP,ORIOLES,2010,63,502154
Jason Knapp,RHP,INDIANS,2010,64,543405
Alex White,RHP,INDIANS,2010,65,502229
Dan Hudson,RHP,WHITE SOX,2010,66,543339
Tim Beckham,SS,RAYS,2010,67,542921
Alex Colome,RHP,RAYS,2010,68,517008
Arodys Vizcaino,RHP,BRAVES,2010,69,527055
Josh Vitters,3B,CUBS,2010,70,519388
Jhoulys Chacin,RHP,ROCKIES,2010,71,468504
Mike Leake,RHP,REDS,2010,72,502190
Jiovanni Mier,SS,ASTROS,2010,73,545353
Brett Jackson,OF,CUBS,2010,74,571804
Josh Reddick,OF,RED SOX,2010,75,502210
Austin,OF,TIGERS,2010,76,115161
Fernando Martinez,OF,METS,2010,77,494686
Chad James,LHP,MARLINS,2010,78,545345
Tony Sanchez,C,PIRATES,2010,79,506997
Mike Moustakas,3B,ROYALS,2010,80,519058
Travis D'Arnaud,C,BLUE JAYS,2010,81,518595
Jaff Decker,OF,PADRES,2010,82,543094
Adam Moore,C,MARINERS,2010,83,446192
Hank Conger,C,ANGELS,2010,84,474233
Mike Trout,OF,ANGELS,2010,85,545361
Austin Romine,C,YANKEES,2010,86,519222
Lars Anderson,1B,RED SOX,2010,87,502249
Wilmer Flores,SS,METS,2010,88,527038
Mat Gamel,3B,BREWERS,2010,89,451143
James Darnell,3B,PADRES,2010,90,543083
Jordan Lyles,RHP,ASTROS,2010,91,543475
Drew Storen,RHP,NATIONALS,2010,92,519322
Phillippe Aumont,RHP,PHILLIES,2010,93,518418
Miguel Sano,SS/3B,TWINS,2010,94,593934
Andrew Cashner,RHP,CUBS,2010,95,488768
Thomas Neal,OF,GIANTS,2010,96,489166
Peter Bourjos,OF,ANGELS,2010,97,488721
Jay Jackson,RHP,CUBS,2010,98,543351
Jake Arrieta,RHP,ORIOLES,2010,99,453562
Noel Arguelles,LHP,ROYALS,2010,100,580016
Matt Wieters,C,ORIOLES,2009,1,446308
David Price,LHP,RAYS,2009,2,456034
Colby Rasmus,OF,CARDINALS,2009,3,458675
Tommy Hanson,RHP,BRAVES,2009,4,462102
Jason Heyward,OF,BRAVES,2009,5,518792
Travis Snider,OF,BLUE JAYS,2009,6,501983
Brett Anderson,LHP,ATHLETICS,2009,7,474463
Cameron Maybin,OF,MARLINS,2009,8,457727
Madison Bumgarner,LHP,GIANTS,2009,9,518516
Neftali Feliz,RHP,RANGERS,2009,10,491703
Trevor Cahill,RHP,ATHLETICS,2009,11,502239
Pedro Alvarez,3B,PIRATES,2009,12,476883
Mike Moustakas,3B,ROYALS,2009,13,519058
Buster Posey,C,GIANTS,2009,14,457763
Dexter Fowler,OF,ROCKIES,2009,15,451594
Mike Stanton,OF,MARLINS,2009,16,122679
Lars Anderson,1B,RED SOX,2009,17,502249
Logan Morrison,1B,MARLINS,2009,18,489149
Alcides Escobar,SS,BREWERS,2009,19,444876
Gordon Beckham,SS,WHITE SOX,2009,20,493596
Rick Porcello,RHP,TIGERS,2009,21,519144
Chris Tillman,RHP,ORIOLES,2009,22,501957
Justin Smoak,1B,RANGERS,2009,23,475253
Eric Hosmer,1B,ROYALS,2009,24,543333
Brian Matusz,LHP,ORIOLES,2009,25,451085
Carlos Santana,C,INDIANS,2009,26,467793
Matt Laporta,OF/1B,INDIANS,2009,27,453181
Tim Beckham,SS,RAYS,2009,28,542921
Jarrod Parker,RHP,DIAMONDBACKS,2009,29,519105
Fernando Martinez,OF,METS,2009,30,494686
Derek Holland,LHP,RANGERS,2009,31,502706
Wade Davis,RHP,RAYS,2009,32,451584
Andrew Mccutchen,OF,PIRATES,2009,33,457705
Mat Gamel,3B,BREWERS,2009,34,451143
Yonder Alonso,1B,REDS,2009,35,475174
Austin Jackson,OF,YANKEES,2009,36,457706
Elvis Andrus,SS,RANGERS,2009,37,462101
Jesus Montero,C,YANKEES,2009,38,524968
Aaron Hicks,OF,TWINS,2009,39,543305
Brett Wallace,3B,CARDINALS,2009,40,477165
Jordan Zimmermann,RHP,NATIONALS,2009,41,519455
Jordan Schafer,OF,BRAVES,2009,42,457788
J.P. Arencibia,C,BLUE JAYS,2009,43,450317
Angel Villalona,1B,GIANTS,2009,44,505830
Tim Alderson,RHP,GIANTS,2009,45,518396
Jhoulys Chacin,RHP,ROCKIES,2009,46,468504
Wilmer Flores,SS,METS,2009,47,527038
Dominic Brown,OF,PHILLIES,2009,48,502126
Andrew Lambo,OF,DODGERS,2009,49,518911
Kyle Blanks,1B,PADRES,2009,50,452035
Josh Vitters,3B,CUBS,2009,51,519388
Carlos Carrasco,RHP,PHILLIES,2009,52,471911
Jason Castro,C,ASTROS,2009,53,488771
Michael Inoa,RHP,ATHLETICS,2009,54,548068
Aaron Cunningham,OF,ATHLETICS,2009,55,488811
James Mcdonald,RHP,DODGERS,2009,56,457428
Greg Halman,OF,MARINERS,2009,57,471897
Nick Weglarz,OF,INDIANS,2009,58,475676
Ben Revere,OF,TWINS,2009,59,519184
Todd Frazier,SS/3B,REDS,2009,60,453943
Dayan Viciedo,3B/OF,White Sox,2009,61,493364
Gorkys Hernandez,OF,BRAVES,2009,62,491676
Aaron Poreda,LHP,WHITE SOX,2009,63,519145
Matt Dominguez,3B,MARLINS,2009,64,518625
Michael Saunders,OF,MARINERS,2009,65,459431
Lou Marson,C,PHILLIES,2009,66,453974
Jake Arrieta,RHP,ORIOLES,2009,67,453562
Nick Adenhart,RHP,ANGELS,2009,68,444440
Jason Donald,SS,PHILLIES,2009,69,453228
Jordan Walden,RHP,ANGELS,2009,70,477229
Wilson Ramos,C,TWINS,2009,71,467092
Brett Cecil,LHP,BLUE JAYS,2009,72,446399
Taylor Teagarden,C,RANGERS,2009,73,460003
Adrian Cardenas,SS/2B,ATHLETICS,2009,74,502133
Jose Tabata,OF,PIRATES,2009,75,467798
Chris Carter,1B/3B,ATHLETICS,2009,76,452080
Jonathon Niese,LHP,METS,2009,77,477003
Reid Brignac,SS,RAYS,2009,78,458582
Jeff Samardzija,RHP,CUBS,2009,79,502188
Desmond Jennings,OF,RAYS,2009,80,457775
Brett Lawrie,C/3B,BREWERS,2009,81,543434
Adam Miller,RHP,INDIANS,2009,82,449089
Michael Bowden,RHP,RED SOX,2009,83,476601
Max Ramirez,C,RANGERS,2009,84,445615
Kyle Skipworth,C,MARLINS,2009,85,543788
Martin Perez,LHP,RANGERS,2009,86,527048
Freddie Freeman,1B,BRAVES,2009,87,518692
Gerardo Parra,OF,DIAMONDBACKS,2009,88,467827
Carlos Triunfel,SS/2B,MARINERS,2009,89,508892
Daniel Cortes,RHP,ROYALS,2009,90,451135
Chris Perez,RHP,CARDINALS,2009,91,453198
Andrew Brackman,RHP,YANKEES,2009,92,457581
Phillippe Aumont,RHP,MARINERS,2009,93,518418
Brad Holt,RHP,METS,2009,94,475747
Christian Friedrich,LHP,ROCKIES,2009,95,543184
Sean West,LHP,MARLINS,2009,96,476811
Gio Gonzalez,LHP,ATHLETICS,2009,97,461829
Daniel Bard,RHP,RED SOX,2009,98,453268
Tyler Flowers,C,WHITE SOX,2009,99,452095
Jeremy Jeffress,RHP,BREWERS,2009,100,502026
Jay Bruce,OF,REDS,2008,1,457803
Evan Longoria,3B,RAYS,2008,2,446334
Joba Chamberlain,RHP,YANKEES,2008,3,501955
Clay Buchholz,RHP,RED SOX,2008,4,453329
Colby Rasmus,OF,CARDINALS,2008,5,458675
Cameron Maybin,OF,MARLINS,2008,6,457727
Clayton Kershaw,LHP,DODGERS,2008,7,477132
Franklin Morales,LHP,ROCKIES,2008,8,462985
Homer Bailey,RHP,REDS,2008,9,456701
David Price,LHP,RAYS,2008,10,456034
Travis Snider,OF,BLUE JAYS,2008,11,501983
Matt Wieters,C,ORIOLES,2008,12,446308
Jacoby Ellsbury,OF,RED SOX,2008,13,453056
Andrew Mccutchen,OF,PIRATES,2008,14,457705
Jake Mcgee,LHP,RAYS,2008,15,459429
Brandon Wood,3B/SS,ANGELS,2008,16,457420
Wade Davis,RHP,RAYS,2008,17,451584
Mike Moustakas,SS,ROYALS,2008,18,519058
Elvis Andrus,SS,RANGERS,2008,19,462101
Fernando Martinez,OF,METS,2008,20,494686
Rick Porcello,RHP,TIGERS,2008,21,519144
Carlos Gonzalez,OF,ATHLETICS,2008,22,471865
Matt Laporta,OF,BREWERS,2008,23,453181
Nick Adenhart,RHP,ANGELS,2008,24,444440
Jordan Schafer,OF,BRAVES,2008,25,457788
Gio Gonzalez,LHP,ATHLETICS,2008,26,461829
Chris Marrero,1B/OF,NATIONALS,2008,27,502029
Jason Heyward,OF,BRAVES,2008,28,518792
Adam Miller,RHP,INDIANS,2008,29,449089
Kosuke Fukudome,OF,CUBS,2008,30,493120
Andy Laroche,3B,DODGERS,2008,31,451188
Chase Headley,3B/OF,PADRES,2008,32,452104
Angel Villalona,3B/1B,GIANTS,2008,33,505830
Johnny Cueto,RHP,REDS,2008,34,456501
Deolis Guerra,RHP,TWINS,2008,35,500610
Brett Anderson,LHP,ATHLETICS,2008,36,474463
Jose Tabata,OF,YANKEES,2008,37,467798
Ian Stewart,3B,ROCKIES,2008,38,456655
Reid Brignac,SS,RAYS,2008,39,458582
Lars Anderson,1B,REDS SOX,2008,40,502249
Austin Jackson,OF,YANKEES,2008,41,457706
Jeff Clement,C,MARINERS,2008,42,459943
Josh Vitters,3B,CUBS,2008,43,519388
Joey Votto,1B,REDS,2008,44,458015
Ian Kennedy,RHP,YANKEES,2008,45,453178
Jarrod Parker,RHP,DIAMONDBACKS,2008,46,519105
Geovany Soto,C,CUBS,2008,47,434567
Daric Barton,1B,ATHLETICS,2008,48,435558
Jair Jurrjens,RHP,BRAVES,2008,49,457453
Matt Antonelli,2B,PADRES,2008,50,453327
