name,url,team,pos,owner,orank,rank,owned
Desmond Jennings,http://sports.yahoo.com/mlb/players/8651,TB,OF,FA,220,317,42%
Nick Markakis,http://sports.yahoo.com/mlb/players/7707,Atl,OF,FA,221,157,60%
Brett Lawrie,http://sports.yahoo.com/mlb/players/8874,Oak,2B/3B,FA,223,781,69%
Carlos Beltran,http://sports.yahoo.com/mlb/players/6132,NYY,OF,Slow Rollers,224,429,61%
Adam Lind,http://sports.yahoo.com/mlb/players/7859,Mil,1B,The Gladiators,225,394,43%
Steven Souza,http://sports.yahoo.com/mlb/players/9671,TB,OF,FA,227,1205,49%
Avisail Garcia,http://sports.yahoo.com/mlb/players/9281,CWS,OF,The Gladiators,228,920,48%
Carl Crawford,http://sports.yahoo.com/mlb/players/6870,LAD,OF,King of Chardonnay,229,160,61%
Jedd Gyorko,http://sports.yahoo.com/mlb/players/9107,SD,2B,FA,232,839,53%
Joc Pederson,http://sports.yahoo.com/mlb/players/9414,LAD,OF,FA,236,1307,70%
Pedro Alvarez,http://sports.yahoo.com/mlb/players/8645,Pit,1B/3B,FA,238,322,74%
Mark Teixeira,http://sports.yahoo.com/mlb/players/6788,NYY,1B,BeAsT mOdE,239,315,62%
Yasmani Tomas,http://sports.yahoo.com/mlb/players/9850,Ari,3B/OF,FA,240,-,82%
J.J. Hardy,http://sports.yahoo.com/mlb/players/7283,Bal,SS,FA,243,342,67%
Chase Headley,http://sports.yahoo.com/mlb/players/8057,NYY,1B/3B,The Alliance,244,348,66%
Curtis Granderson,http://sports.yahoo.com/mlb/players/7455,NYM,OF,FA,245,202,56%
Asdrubal Cabrera,http://sports.yahoo.com/mlb/players/7947,TB,2B/SS,Slow Rollers,246,204,72%
Drew Stubbs,http://sports.yahoo.com/mlb/players/8528,Col,OF,FA,247,128,30%
Jean Segura,http://sports.yahoo.com/mlb/players/9247,Mil,SS,King of Chardonnay,250,367,74%
Wilson Ramos,http://sports.yahoo.com/mlb/players/8620,Was,C,The Alliance,257,523,72%
Brandon Phillips,http://sports.yahoo.com/mlb/players/6857,Cin,2B,A-Rods Dope Supplier,262,410,60%
Nick Castellanos,http://sports.yahoo.com/mlb/players/9108,Det,3B,Dugo's Way,264,303,27%
Michael Morse,http://sports.yahoo.com/mlb/players/7562,Mia,1B/OF,FA,265,237,42%
Arismendy Alcantara,http://sports.yahoo.com/mlb/players/9554,ChC,2B/OF,Dugo's Way,266,894,27%
Michael Saunders,http://sports.yahoo.com/mlb/players/8538,Tor,OF,FA,267,535,15%
Aaron Hill,http://sports.yahoo.com/mlb/players/7483,Ari,2B/3B,FA,268,372,28%
Kennys Vargas,http://sports.yahoo.com/mlb/players/9592,Min,1B,Dugo's Way,269,743,16%
Martin Prado,http://sports.yahoo.com/mlb/players/7737,Mia,2B/3B/OF,BeAsT mOdE,271,194,75%
Nori Aoki,http://sports.yahoo.com/mlb/players/9094,SF,OF,Rain On 'Em,274,234,15%
Stephen Vogt,http://sports.yahoo.com/mlb/players/9147,Oak,C/1B/OF,FA,275,726,52%
Angel Pagan,http://sports.yahoo.com/mlb/players/7717,SF,OF,FA,276,284,16%
Josh Hamilton,http://sports.yahoo.com/mlb/players/6679,LAA,OF,FA,277,421,43%
Lonnie Chisenhall,http://sports.yahoo.com/mlb/players/8852,Cle,1B/3B,Daddy W,278,191,37%
Andre Ethier,http://sports.yahoo.com/mlb/players/7710,LAD,OF,FA,279,878,10%
Jed Lowrie,http://sports.yahoo.com/mlb/players/8200,Hou,SS,A-Rods Dope Supplier,280,461,14%
Travis Snider,http://sports.yahoo.com/mlb/players/8304,Bal,OF,FA,281,503,5%
Alex Rodriguez,http://sports.yahoo.com/mlb/players/5275,NYY,3B,FA,282,-,48%
Scooter Gennett,http://sports.yahoo.com/mlb/players/9420,Mil,2B,Dugo's Way,283,224,23%
Brad Miller,http://sports.yahoo.com/mlb/players/9446,Sea,2B/SS,Daddy W,284,732,7%
Jon Singleton,http://sports.yahoo.com/mlb/players/9099,Hou,1B,FA,285,889,14%
Travis d'Arnaud,http://sports.yahoo.com/mlb/players/9096,NYM,C,The Gladiators,287,490,35%
Allen Craig,http://sports.yahoo.com/mlb/players/8649,Bos,1B/OF,FA,288,895,14%
James Loney,http://sports.yahoo.com/mlb/players/7725,TB,1B,The Alliance,299,171,10%
Trevor Plouffe,http://sports.yahoo.com/mlb/players/8733,Min,3B,FA,306,169,21%
Ryan Howard,http://sports.yahoo.com/mlb/players/7437,Phi,1B,JeRsEy FU's,318,180,42%
Alejandro De Aza,http://sports.yahoo.com/mlb/players/7996,Bal,OF,The Gladiators,324,314,7%
Jon Jay,http://sports.yahoo.com/mlb/players/8717,StL,OF,FA,326,286,10%
Dexter Fowler,http://sports.yahoo.com/mlb/players/8370,ChC,OF,FA,327,277,15%
Gerardo Parra,http://sports.yahoo.com/mlb/players/8473,Mil,OF,Slow Rollers,346,300,4%
Dustin Ackley,http://sports.yahoo.com/mlb/players/8648,Sea,OF,A-Rods Dope Supplier,352,215,7%
Adam Dunn,http://sports.yahoo.com/mlb/players/6763,Oak,1B/OF,Team autodraft IV,356,335,2%
Domonic Brown,http://sports.yahoo.com/mlb/players/8644,Phi,OF,FA,357,387,8%
Chris Johnson,http://sports.yahoo.com/mlb/players/8585,Atl,3B,A-Rods Dope Supplier,358,351,9%
Omar Infante,http://sports.yahoo.com/mlb/players/7016,KC,2B,FA,362,336,7%
Dayan Viciedo,http://sports.yahoo.com/mlb/players/8398,Tor,OF,FA,364,278,5%
Juan Uribe,http://sports.yahoo.com/mlb/players/6698,LAD,3B,The Gladiators,365,304,6%
Dioner Navarro,http://sports.yahoo.com/mlb/players/7276,Tor,C,King of Chardonnay,368,274,20%
Josh Reddick,http://sports.yahoo.com/mlb/players/8544,Oak,OF,Stiinta Craiova,376,305,8%
Casey McGehee,http://sports.yahoo.com/mlb/players/8359,SF,3B,Slow Rollers,383,196,14%
Luis Valbuena,http://sports.yahoo.com/mlb/players/8361,Hou,2B/3B,D's Ballers,387,264,10%
Justin Turner,http://sports.yahoo.com/mlb/players/8588,LAD,2B/3B/SS,Stoolies,391,248,17%
Brandon Crawford,http://sports.yahoo.com/mlb/players/8945,SF,SS,FA,393,299,13%
David Freese,http://sports.yahoo.com/mlb/players/8402,LAA,3B,FA,398,350,7%
DJ LeMahieu,http://sports.yahoo.com/mlb/players/8949,Col,2B,FA,399,330,4%
Conor Gillaspie,http://sports.yahoo.com/mlb/players/8378,CWS,3B,FA,402,321,4%
Jordy Mercer,http://sports.yahoo.com/mlb/players/9198,Pit,SS,BeAsT mOdE,404,307,16%
Seth Smith,http://sports.yahoo.com/mlb/players/8144,Sea,OF,FA,406,327,4%
Gregor Blanco,http://sports.yahoo.com/mlb/players/7937,SF,OF,FA,409,355,2%
Garrett Jones,http://sports.yahoo.com/mlb/players/8024,NYY,1B/OF,FA,410,341,4%
Colby Rasmus,http://sports.yahoo.com/mlb/players/8190,Hou,OF,FA,414,447,7%
Matt Joyce,http://sports.yahoo.com/mlb/players/8239,LAA,OF,FA,416,391,4%
Juan Lagares,http://sports.yahoo.com/mlb/players/9377,NYM,OF,FA,424,319,5%
Derek Norris,http://sports.yahoo.com/mlb/players/8876,SD,C,Slow Rollers,425,344,21%
Jarrod Dyson,http://sports.yahoo.com/mlb/players/8817,KC,OF,JeRsEy FU's,427,365,7%
Emilio Bonifacio,http://sports.yahoo.com/mlb/players/8112,CWS,2B/OF,Stiinta Craiova,431,385,7%
Eric Young,http://sports.yahoo.com/mlb/players/8399,Atl,OF,FA,442,487,2%
Michael Bourn,http://sports.yahoo.com/mlb/players/7828,Cle,OF,Stoolies,444,502,6%
Brock Holt,http://sports.yahoo.com/mlb/players/9292,Bos,1B/2B/3B/SS/OF,FA,461,280,48%
Daniel Nava,http://sports.yahoo.com/mlb/players/8742,Bos,1B/OF,FA,463,601,2%
Mark Reynolds,http://sports.yahoo.com/mlb/players/8030,StL,1B/3B,FA,491,470,4%
Will Venable,http://sports.yahoo.com/mlb/players/8340,SD,OF,FA,492,679,2%
Chris Coghlan,http://sports.yahoo.com/mlb/players/8469,ChC,OF,FA,496,312,3%
Ichiro Suzuki,http://sports.yahoo.com/mlb/players/6615,Mia,OF,FA,509,512,3%
Miguel Montero,http://sports.yahoo.com/mlb/players/7865,ChC,C,FA,510,386,46%
Jason Castro,http://sports.yahoo.com/mlb/players/8635,Hou,C,Slow Rollers,517,584,9%
David Murphy,http://sports.yahoo.com/mlb/players/7862,Cle,OF,FA,525,411,2%
Ender Inciarte,http://sports.yahoo.com/mlb/players/9355,Ari,OF,FA,556,325,2%
Mike Aviles,http://sports.yahoo.com/mlb/players/8260,Cle,2B/3B/SS/OF,FA,565,530,7%
Matt Dominguez,http://sports.yahoo.com/mlb/players/8683,Hou,3B,FA,584,606,3%
Andrelton Simmons,http://sports.yahoo.com/mlb/players/9201,Atl,SS,FA,585,669,14%
Kurt Suzuki,http://sports.yahoo.com/mlb/players/8052,Min,C,Team autodraft IV,586,393,9%
Logan Morrison,http://sports.yahoo.com/mlb/players/8633,Sea,1B/OF,FA,629,446,3%
Jarrod Saltalamacchia,http://sports.yahoo.com/mlb/players/7939,Mia,C,FA,721,769,6%
Melvin Upton Jr.,http://sports.yahoo.com/mlb/players/7333,Atl,OF,FA,725,392,5%
Adeiny Hechavarria,http://sports.yahoo.com/mlb/players/9259,Mia,SS,FA,766,456,4%
Juan Francisco,http://sports.yahoo.com/mlb/players/8598,TB,1B/3B,Slow Rollers,791,573,1%
Yangervis Solarte,http://sports.yahoo.com/mlb/players/9657,SD,2B/3B,FA,795,371,4%
John Jaso,http://sports.yahoo.com/mlb/players/8368,TB,C,FA,804,495,3%
Josh Willingham,http://sports.yahoo.com/mlb/players/7373,KC,OF,The Alliance,813,538,1%
Eduardo Escobar,http://sports.yahoo.com/mlb/players/9054,Min,2B/3B/SS,FA,833,436,3%
Mike Zunino,http://sports.yahoo.com/mlb/players/9322,Sea,C,FA,842,424,28%
Chris Iannetta,http://sports.yahoo.com/mlb/players/7845,LAA,C,FA,854,571,4%
Tyler Flowers,http://sports.yahoo.com/mlb/players/8572,CWS,C,FA,880,469,4%
Chris Young,http://sports.yahoo.com/mlb/players/7738,NYY,OF,D's Ballers,885,629,1%
Everth Cabrera,http://sports.yahoo.com/mlb/players/8430,Bal,SS,FA,886,864,6%
Sam Fuld,http://sports.yahoo.com/mlb/players/8133,Oak,OF,FA,892,485,1%
David Peralta,http://sports.yahoo.com/mlb/players/9719,Ari,OF,FA,895,404,2%
Gordon Beckham,http://sports.yahoo.com/mlb/players/8422,CWS,2B/3B,FA,898,622,2%
Scott Van Slyke,http://sports.yahoo.com/mlb/players/9177,LAD,1B/OF,FA,900,506,2%
Josh Rutledge,http://sports.yahoo.com/mlb/players/9237,LAA,2B/3B/SS,FA,906,653,4%
Ike Davis,http://sports.yahoo.com/mlb/players/8666,Oak,1B,FA,909,555,2%
Brandon Barnes,http://sports.yahoo.com/mlb/players/9263,Col,OF,FA,923,725,1%
Yasmani Grandal,http://sports.yahoo.com/mlb/players/9098,LAD,C/1B,FA,924,448,18%
Justin Ruggiano,http://sports.yahoo.com/mlb/players/8145,Sea,OF,FA,926,822,1%
Yunel Escobar,http://sports.yahoo.com/mlb/players/7938,Was,SS,FA,932,814,2%
Alfonso Soriano,http://sports.yahoo.com/mlb/players/6154,NYY,OF,FA,933,995,1%
Mike Moustakas,http://sports.yahoo.com/mlb/players/8685,KC,3B,FA,934,638,7%
Cody Asche,http://sports.yahoo.com/mlb/players/9477,Phi,3B,FA,940,525,2%
Craig Gentry,http://sports.yahoo.com/mlb/players/8574,Oak,OF,FA,944,785,1%
Delmon Young,http://sports.yahoo.com/mlb/players/7467,Bal,OF,FA,945,688,1%
Jordan Schafer,http://sports.yahoo.com/mlb/players/8188,Min,OF,FA,970,740,1%
Rickie Weeks,http://sports.yahoo.com/mlb/players/7213,Sea,2B,FA,979,652,1%
Rougned Odor,http://sports.yahoo.com/mlb/players/9634,Tex,2B,FA,985,464,11%
Alexi Amarista,http://sports.yahoo.com/mlb/players/8914,SD,2B/3B/SS/OF,FA,991,667,3%
Kendrys Morales,http://sports.yahoo.com/mlb/players/7481,KC,1B,Team autodraft IV,997,945,3%
Robbie Grossman,http://sports.yahoo.com/mlb/players/9378,Hou,OF,FA,998,693,1%
Welington Castillo,http://sports.yahoo.com/mlb/players/8784,ChC,C,FA,1000,789,2%
Zack Cozart,http://sports.yahoo.com/mlb/players/8628,Cin,SS,FA,1001,892,2%
Alex Avila,http://sports.yahoo.com/mlb/players/8550,Det,C,FA,1002,755,3%
Carlos Ruiz,http://sports.yahoo.com/mlb/players/7757,Phi,C,FA,1006,744,2%
Chris Denorfia,http://sports.yahoo.com/mlb/players/7665,ChC,OF,FA,1031,934,1%
A.J. Pierzynski,http://sports.yahoo.com/mlb/players/6109,Atl,C,FA,1036,926,2%
Kevin Kiermaier,http://sports.yahoo.com/mlb/players/9538,TB,OF,FA,1045,561,2%
Nick Swisher,http://sports.yahoo.com/mlb/players/7435,Cle,1B/OF,FA,1050,943,3%
James Jones,http://sports.yahoo.com/mlb/players/9674,Sea,OF,FA,1054,593,1%
Yonder Alonso,http://sports.yahoo.com/mlb/players/8660,SD,1B,FA,1060,897,2%
Shane Victorino,http://sports.yahoo.com/mlb/players/7104,Bos,OF,Team autodraft IV,1066,1024,5%
Jonathan Villar,http://sports.yahoo.com/mlb/players/9468,Hou,SS,FA,1068,823,1%
Jonny Gomes,http://sports.yahoo.com/mlb/players/7245,Atl,OF,FA,1071,921,1%
Sean Rodriguez,http://sports.yahoo.com/mlb/players/8224,Pit,1B/2B/3B/OF,FA,1074,813,2%
Eduardo Nunez,http://sports.yahoo.com/mlb/players/8789,Min,3B/SS/OF,FA,1077,893,1%
David Lough,http://sports.yahoo.com/mlb/players/8663,Bal,OF,FA,1079,905,0%
Robinson Chirinos,http://sports.yahoo.com/mlb/players/8990,Tex,C,FA,1080,660,2%
Jonathan Schoop,http://sports.yahoo.com/mlb/players/9104,Bal,2B/3B,JeRsEy FU's,1081,677,9%
Nate Schierholtz,http://sports.yahoo.com/mlb/players/8054,Tex,OF,FA,1083,969,0%
Rene Rivera,http://sports.yahoo.com/mlb/players/7458,TB,C,FA,1086,727,1%
Chris Owings,http://sports.yahoo.com/mlb/players/9526,Ari,2B/SS,FA,1087,761,6%
Marwin Gonzalez,http://sports.yahoo.com/mlb/players/9142,Hou,2B/3B/SS,FA,1088,830,1%
Eric Sogard,http://sports.yahoo.com/mlb/players/8828,Oak,2B/SS,FA,1090,925,1%
Chris Heisey,http://sports.yahoo.com/mlb/players/8617,LAD,OF,FA,1091,885,0%
Gaby Sanchez,http://sports.yahoo.com/mlb/players/8385,Pit,1B,FA,1094,900,0%
C.J. Cron,http://sports.yahoo.com/mlb/players/9583,LAA,1B,FA,1096,757,5%
Alberto Callaspo,http://sports.yahoo.com/mlb/players/7832,Atl,1B/2B/3B,FA,1097,949,1%
Didi Gregorius,http://sports.yahoo.com/mlb/players/9282,NYY,2B/SS,FA,1098,918,7%
Lyle Overbay,http://sports.yahoo.com/mlb/players/6639,Mil,1B,FA,1099,946,0%
Tommy Medica,http://sports.yahoo.com/mlb/players/9531,SD,1B/OF,FA,1100,848,1%
Kelly Johnson,http://sports.yahoo.com/mlb/players/7558,Atl,1B/3B,FA,1101,962,1%
Michael McKenry,http://sports.yahoo.com/mlb/players/8819,Col,C,FA,1103,847,1%
Brandon Guyer,http://sports.yahoo.com/mlb/players/8924,TB,OF,FA,1104,803,0%
Ryan Ludwick,http://sports.yahoo.com/mlb/players/6862,Tex,OF,FA,1105,838,0%
Jeff Baker,http://sports.yahoo.com/mlb/players/7041,Mia,1B/2B,FA,1106,924,0%
Peter Bourjos,http://sports.yahoo.com/mlb/players/8777,StL,OF,FA,1107,908,1%
Collin Cowgill,http://sports.yahoo.com/mlb/players/8968,LAA,OF,FA,1111,884,1%
Justin Smoak,http://sports.yahoo.com/mlb/players/8653,Tor,1B,FA,1113,973,1%
Ryan Flaherty,http://sports.yahoo.com/mlb/players/9144,Bal,2B/3B/SS,FA,1114,927,1%
Chris Parmelee,http://sports.yahoo.com/mlb/players/9062,Bal,1B/OF,FA,1115,907,0%
Junior Lake,http://sports.yahoo.com/mlb/players/9466,ChC,OF,FA,1120,938,1%
David DeJesus,http://sports.yahoo.com/mlb/players/7232,TB,OF,FA,1121,970,1%
Mitch Moreland,http://sports.yahoo.com/mlb/players/8772,Tex,1B,FA,1122,1009,1%
Danny Valencia,http://sports.yahoo.com/mlb/players/8665,Tor,1B/3B,FA,1126,950,1%
Endy Chavez,http://sports.yahoo.com/mlb/players/6733,Sea,OF,FA,1128,930,0%
Marcus Semien,http://sports.yahoo.com/mlb/players/9517,Oak,2B/3B,FA,1129,914,9%
Donovan Solano,http://sports.yahoo.com/mlb/players/9190,Mia,2B,FA,1130,956,0%
Joe Panik,http://sports.yahoo.com/mlb/players/9742,SF,2B,FA,1131,896,9%
Anthony Gose,http://sports.yahoo.com/mlb/players/9120,Det,OF,FA,1132,935,2%
Wilmer Flores,http://sports.yahoo.com/mlb/players/9483,NYM,2B/SS,FA,1133,913,4%
Derek Dietrich,http://sports.yahoo.com/mlb/players/9391,Mia,2B,FA,1134,961,0%
Brayan Pena,http://sports.yahoo.com/mlb/players/7551,Cin,C/1B,FA,1135,957,1%
J.P. Arencibia,http://sports.yahoo.com/mlb/players/8655,Bal,C/1B,FA,1137,976,1%
Nick Hundley,http://sports.yahoo.com/mlb/players/8294,Col,C,FA,1140,981,1%
Jose Ramirez,http://sports.yahoo.com/mlb/players/9507,Cle,2B/SS,FA,1142,916,6%
Raul Ibanez,http://sports.yahoo.com/mlb/players/5665,KC,OF,FA,1144,1065,0%
Logan Forsythe,http://sports.yahoo.com/mlb/players/8921,TB,2B,FA,1145,955,0%
Grady Sizemore,http://sports.yahoo.com/mlb/players/7256,Phi,OF,FA,1146,915,1%
John Mayberry,http://sports.yahoo.com/mlb/players/8496,NYM,1B/OF,FA,1147,1006,0%
Alex Presley,http://sports.yahoo.com/mlb/players/8823,Hou,OF,FA,1148,963,0%
Danny Espinosa,http://sports.yahoo.com/mlb/players/8805,Was,2B/SS,FA,1149,919,1%
Eugenio Suarez,http://sports.yahoo.com/mlb/players/9724,Cin,SS,FA,1150,928,1%
Chris Colabello,http://sports.yahoo.com/mlb/players/9403,Tor,1B/OF,FA,1151,951,0%
Darwin Barney,http://sports.yahoo.com/mlb/players/8787,LAD,2B,FA,1152,986,0%
Ruben Tejada,http://sports.yahoo.com/mlb/players/8672,NYM,SS,FA,1153,941,0%
Munenori Kawasaki,http://sports.yahoo.com/mlb/players/9134,Tor,2B/3B,FA,1156,975,0%
Kristopher Negron,http://sports.yahoo.com/mlb/players/9210,Cin,2B/3B,FA,1157,939,1%
